Song Name,Song ID,Genres
Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,"chicago rap, hip hop, rap"
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop, pop"
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,"alternative hip hop, modern rock, rock"
Love,26QLJMK8G0M06sk7h7Fkse,pop
"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,"emo, modern rock, pop, pop punk, rock"
Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,"colombian pop, dance pop, latin pop, pop"
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,"detroit hip hop, hip hop, rap"
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,pop
"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,"emo, modern rock, pop, pop punk, rock"
Good Directions,7GQjJEwqlp6m5HNWVQd6OR,"contemporary country, country, country road"
Coming Undone,3o7TMr6RmIusYH7Kkg7ujR,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock"
Temperature,0k2GOhqsrxDTAbFFSdNJjT,"dance pop, dancehall, pop, pop rap"
The Kill,0lP4HYLmvowOKdsQ7CVkuq,"modern rock, post-grunge"
Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,"neo mellow, piano rock, pop, pop rock"
Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,"barbadian pop, pop, urban contemporary"
Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
We Belong Together,3LmvfNUQtglbTrydsdIqFU,"dance pop, pop, urban contemporary"
Better Together,6gdLyYNuhWBzqwlOFSsXC7,"contemporary country, country"
Candy Shop,5D2mYZuzcgjpchVY1pmTPh,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Animals,3rjM7GhxdVq1YySsHBs21i,"alternative metal, canadian rock, post-grunge"
Hidden In the Sand,0RjG5JmdOWXAR68dGlKBA5,"ann arbor indie, pov: indie"
Banana Pancakes,451GvHwY99NKV4zdKPRWmv,neo mellow
Lonely Day,1VNWaY3uNfoeWqb5U8x2QX,"alternative metal, nu metal, rap metal, rock"
Rockstar,0e7ipj03S05BNilyu5bRzt,"dfw rap, melodic rap, pop, rap"
Cupid's Chokehold / Breakfast in America,2Lhdl74nwwVGOE2Gv35QuK,"dance pop, pop rap"
Beverly Hills,1yKu2MhpwzDXXH2tzG6xoa,"alternative rock, modern power pop, modern rock, permanent wave, rock"
