Song Name,Song ID,Genres
Sure Thing,0JXXNGljqupsJaZsgSbMZV,"r&b, urban contemporary"
The Spins,7FAFkQQZFeNwOFzTrSDFIh,"hip hop, pittsburgh rap, pop rap, rap"
Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,"dance pop, pop"
Girl With The Tattoo Enter.lewd,1eUGmzzvahJjOSWgDHuRlv,"r&b, urban contemporary"
Duvet,42qNWdLKCI41S4uzfamhFM,
No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,"atl hip hop, dirty south rap, rap, southern hip hop, trap"
Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,"chicago rap, hip hop, rap"
Super Bass,3hlksXnvbKogFdPbpO9vel,"hip pop, pop, queens hip hop, rap"
Grenade,2tJulUYLDKOg9XrtVkMgcJ,"dance pop, pop"
"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,"dance pop, neo mellow, pop, pop rock"
Talking to the Moon,161DnLWsx1i3u1JT05lzqU,"dance pop, pop"
Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,"indie folk, indie quebecois"
Knee Deep (feat. Jimmy Buffett),60IGhnH20N82dNxKnc8jDd,"contemporary country, country, country road, modern country rock"
Runaway,3DK6m7It6Pw857FcQftMds,"chicago rap, hip hop, rap"
Last Friday Night (T.G.I.F.),3avYqdwHKEq8beXbeWCKqJ,pop
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,"dance pop, pop"
I Can't Handle Change,0I1eFRytp4XRhLCjT6tZm7,"pov: indie, weirdcore"
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,"barbadian pop, pop, urban contemporary"
Dirt Road Anthem,2qYsSHsYkihWx043HVJQRV,"contemporary country, country, country road, modern country rock"
All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,"chicago rap, hip hop, rap"
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,"detroit hip hop, hip hop, rap"
Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,"chamber pop, indie rock, modern folk rock, philly indie, pov: indie, seattle indie, stomp and holler"
Teenage Dream,7fesNTgTEMEH0ye8MOgEDY,pop
S&M,7ySUcLPVX7KudhnmNcgY2D,"barbadian pop, pop, urban contemporary"
DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
POWER,2uwnP6tZVVmTovzX5ELooy,"conscious hip hop, hip hop, north carolina hip hop, rap"
Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
What You Know,3GBApU0NuzH4hKZq4NOSdA,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Christmas Kids,40gk32E7YaTFoQwDIWv2SY,"pov: indie, weirdcore"
Marry You,22PMfvdz35fFKYnJyMn077,"dance pop, pop"
Baby,7yNf9YjeO5JXUE3JEBgnYc,"alternative pop rock, pov: indie"
Enchanted,3sW3oSbzsfecv9XoUdGs7h,pop
Over,5pIVEk6Di7n1v5khOzJaJL,"classic oklahoma country, modern country pop"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7LcfRTgAVTs5pQGEQgUEzN,pop
Raise Your Glass,1gv4xPanImH17bKZ9rOveR,"dance pop, pop"
California Gurls,6KOEK6SeCEZOQkLj5M1PxH,pop
Fancy,3fpTMuD1u3gJlVI4FadVHs,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,"dance pop, pop, pop dance, pop rap"
All I Want Is You (feat. J. Cole),5VA4Ispp52EA1sOqzMz3Av,"r&b, urban contemporary"
Mr. Rager,2ncLdwTd8qzkxiJjlbiOgC,"hip hop, ohio hip hop, pop rap, rap"
