Song Name,Song ID,Genres,Year,Main Genres
No Los Oigas,5BUYALSmXyNvn8BEhrJVx6,"['musica mexicana', 'norteno']",2009,
Par De Anillos,6ag94zXSjx4qrI20daNxwQ,"['banda', 'grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'norteno']",2009,
Fuck You,4ycLiPVzE5KamivXrAzGFG,['atl hip hop'],2009,Hip hop Music
Ya Lo Sé,4pIiKrGXCgTZOAFGJjCEvL,"['banda', 'mariachi', 'musica mexicana', 'ranchera', 'regional mexicano femenil']",2009,
Almost There,7GBAXK535UBq8ftRh86FXq,['movie tunes'],2009,
Two Is Better Than One (feat. Taylor Swift),1MaqkdFNIKPdpQGDzme5ss,"['neon pop punk', 'pop punk']",2009,Pop Music
Fairytale,3MnAsEBBsEj86d03RgO4EM,[],2009,
Successful (feat. Trey Songz & Lil Wayne),6NwhtCYkfwWlcR62Ac4E7y,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2009,"Hip hop Music, Pop Music"
El Doctorado,1GLyxov9LCuqj9jWFXI3cy,"['reggaeton', 'urbano latino']",2009,Reggae Music
Throw It In The Bag,6c0GmyBsE7mQtrVvxJaWc3,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']",2009,"Hip hop Music, Pop Music"
Down in New Orleans (Finale),1fvc8FP8MUrIbHGYb4kF89,['movie tunes'],2009,
Crazy Town,5eH1ktZDHgegpkYJOY7tme,"['contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
If We Ever Meet Again (Featuring Katy Perry),360UM2DaiHZPRu0EsrOvMp,"['dance pop', 'pop', 'pop rap']",2009,Pop Music
Islands,4mnOVRRXsaqg9Nb041xR8u,"['classic country pop', 'country', 'country dawn']",2009,"Pop Music, Country Music"
Tu Perro Guardian,59OUK2LvXPSByFgDXXKTtJ,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",2009,
Ella Se Contradice (feat. Plan B),4nNeRNXmdZWfw3IjAnITZR,"['reggaeton', 'trap latino', 'urbano latino']",2009,Reggae Music
Dragonfly,6zxuYksXOARe4llokrpi5k,['post-grunge'],2009,
Someone Else Calling You Baby,7DkzLcSXS4KhSvbvIJja3M,"['contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
Limosnero De Cariño,3byPF6yxPJC3OXmrZTnX4k,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']",2009,
La nena,3G1MmrIyPcSJnP6w2xyeXf,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",2009,"Reggae Music, Pop Music"
El Padre Que Siempre Soñé,1mjyjgatJGw8DtNTejtztn,"['latin christian', 'latin worship']",2009,
Lo Unico Que Quiero,0L5Qug0k2UpMBF3vKtHUGq,"['latin christian', 'latin worship']",2009,
The Garden,0d5kLB4iMx2208UwieUzNa,"['reggae rock', 'west coast reggae']",2009,"Reggae Music, Rock Music"
Lasso,29ceu4GvNpnHSfLeBL4O7W,"['alternative dance', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave', 'rock independant francais', 'shimmer pop']",2009,"Pop Music, Rock Music"
I Love College,1akgiRM3mN2nxu2AX6ACCW,['indie pop rap'],2009,Pop Music
Ma Belle Evangeline,5d22scOOfbrK7GHy3ZTT3s,['movie tunes'],2009,
Telephone,0JIMT9gzLIIz0esKLyjbKf,['newcastle nsw indie'],2009,
Eyeless,2yYX7KbfWZrezWVW1vN3iz,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2009,"Metal Music, Rock Music"
Everybody Loves Me,0Q0Vl9fKJF5MDxfVKbD78e,"['piano rock', 'pop']",2009,"Pop Music, Rock Music"
White Liar,08NPIspzvBNj88lHalgA4V,"['contemporary country', 'country', 'country dawn', 'country road']",2009,Country Music
New Perspective,1mAfZYkVfwcPuqqPJZ1Opu,['pov: indie'],2009,
Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",2009,"Pop Music, Rock Music"
People Say,0WTq8iUzSlGDAbowEdRKKD,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",2009,Rock Music
Sentimientos De Cartón,7ctLV5QnYVq3V89EK3XNsa,"['banda', 'musica mexicana', 'norteno', 'tejano']",2009,
I Know You Want Me (Calle Ocho),13plQdOoWSSXPRUSZc5FuM,"['dance pop', 'miami hip hop', 'pop']",2009,"Hip hop Music, Pop Music"
Thug,7qHAjAL7CpadaZLamuBZRm,"['gangster rap', 'hardcore hip hop', 'hip hop', 'ohio hip hop', 'rap']",2009,Hip hop Music
Purity,2MF4HtZHBoUliOi9nOAbS0,"['east coast hip hop', 'hip hop', 'rap', 'trap']",2009,Hip hop Music
100 In A 55,5ysXIB9HkfXAlkI3MDKV50,"['alternative metal', 'nu metal', 'post-grunge']",2009,Metal Music
Little Secrets,3kb38wezoUA8ki5jPYy3t5,"['indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'shimmer pop']",2009,"Pop Music, Rock Music"
The Final Episode (Let's Change the Channel),01tsbILfgyMB1P3lc2cO7I,"['alternative metal', 'metalcore', 'pop punk', 'post-grunge', 'trancecore', 'uk metalcore']",2009,"Metal Music, Pop Music"
Butterfly Fly Away,2ZTCl6wQMDSMfY4s8GHZdj,['pop'],2009,Pop Music
New Divide,6Wx88Mv6b9ofjKMKkdwOJd,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2009,"Metal Music, Rock Music"
Everyday Normal Guy 2,2hhFpD32iXUd4GaCu6T4wn,"['comedy rap', 'comic', 'parody']",2009,
Eight Second Ride,0XjXQDJpajDzCdpazp1562,"['contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
Amor En Silencio,20OlHp8vxAnROiVvAFsbmh,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']",2009,
Come On Eileen - Single Edit,6nWcEzyxDozQcmxMoNJtYx,"['new romantic', 'new wave', 'new wave pop']",2009,Pop Music
Before I Let Go,6e9xnBJPs0y9omrSU3C3N4,"['funk', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",2009,
Outta Control,3E3f3Po59cqs9gS3vexHjB,['reggae rock'],2009,"Reggae Music, Rock Music"
Play Something Country,0SineTesaejYlgW5pwLo10,"['contemporary country', 'country', 'country road']",2009,Country Music
Si Te Vas / Que Tengo Que Hacer - Original Remix,0OyHCmkCp2qZJ44ZKB26fX,['rap dominicano'],2009,
Carry On Wayward Son - Single Version,5sMIFZaagXcwKiSfl95zIW,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",2009,Rock Music
Voy A Conquistarte,3ykJeceAqPKiwnFPpzUNUq,"['latin pop', 'ranchera']",2009,Pop Music
Gold Guns Girls,6JhUq57XpJeNMxboI4Ne3S,"['canadian indie', 'canadian rock', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']",2009,"Pop Music, Rock Music"
Blue Zone,0x27syvuC6YbbdYNlEu4iJ,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2009,"Hip hop Music, Reggae Music, Pop Music"
Delirious,0nH3kN1WXrbxZSptazFX1r,[],2009,
Day 'N' Nite - Crookers Remix,0Fjp3mnxil6tTiPvG003e9,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",2009,"Hip hop Music, Pop Music"
Virginia May,435XaJ1Mqo5Pd7AwRE7nrF,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",2009,"Folk Music, Pop Music"
Dandelion Wine,5AeoHJUx0PJXAzN425xryh,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",2009,"Folk Music, Pop Music"
Rain,3L1JHXiqNOJ57w3n2R3HyU,[],2009,
Ya Es Muy Tarde,64my6WOkrygcpXKMLxxpi9,"['banda', 'musica mexicana', 'norteno']",2009,
"If I Go, I'm Goin",1vqtj4c5aNPKkLS2LXkd4E,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",2009,"Folk Music, Pop Music"
Backwoods,3mSAhPW73pyeKoquI7E8B3,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
Dead End Friends,5ByJlcDmUzK69tpub789AB,"['alternative metal', 'alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",2009,"Metal Music, Blues Music, Rock Music"
Edge of Desire,5gbxzSqABThINGDb7vIiwe,"['neo mellow', 'singer-songwriter']",2009,
Can't You See,4fUU9WKxEgJXyrZJsUA2iP,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'southern rock']",2009,"Country Music, Rock Music"
40 Day Dream - 2019 - Remaster,4ek3pPdfvIbPxynmlisI0k,"['la indie', 'stomp and holler']",2009,
Imma Kill U,2Bke2ZbHLzv8j5Rv16uYYx,"['rap rock', 'viral rap']",2009,Rock Music
Lost in You,5BIY4jMiYsp5QKKE05AXUF,"['lo-fi rap', 'pov: indie']",2009,
Kiss With A Fist,0jv5OcbvTUHgO8FgHhya8b,"['baroque pop', 'modern rock', 'uk alternative pop']",2009,"Pop Music, Rock Music"
Whole Wide World,3e5eR2DBoHD2qR4HN3YmTv,"['canadian indie', 'canadian singer-songwriter', 'indie folk', 'stomp and holler']",2009,Folk Music
Alejandro,4lwavw59UjXUPJZtKNdFYp,"['art pop', 'dance pop', 'pop']",2009,Pop Music
White Blank Page,6oxnUh5HybZDk6VNGzvw2j,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",2009,"Folk Music, Rock Music"
Consider Me Gone,3aPu8Pt9F18y7O7AbzsC02,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road']",2009,Country Music
New Fang,7uJLdyIAaYLGT0oLw7I6b3,"['alternative metal', 'alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",2009,"Metal Music, Blues Music, Rock Music"
Sueño Guajiro,2V9pPYbtIaxI4canNxsDrJ,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",2009,
Ehu Girl,7hmvSpZSdBAaJmy0pHcGwh,['jawaiian'],2009,
Head Full Of Doubt/Road Full Of Promise,7Kho44itYaCQZvZQVV2SLW,"['indie folk', 'new americana', 'north carolina indie', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",2009,Folk Music
Con Todos Menos Conmigo,4d7N2lqEJMbQwVy1LCqhXv,"['latin pop', 'mexican pop']",2009,Pop Music
Battlefield,1Nme6K1PYAh7p7uygyuRdf,"['dance pop', 'pop', 'post-teen pop']",2009,Pop Music
A Little Faster,0YwqJeTUyviMJw70jRt9ET,"['neon pop punk', 'pop emo']",2009,Pop Music
