Song Name,Song ID,Genres
Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,pop
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,"baroque pop, modern rock, uk alternative pop"
Best I Ever Had,3QLjDkgLh9AOEHlhQtDuhs,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
Rosyln,4k7x3QKrc3h3U0Viqk0uop,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
I Gotta Feeling,2H1047e0oMSj10dgp7p2VG,"dance pop, pop, pop rap"
Day 'N' Nite (nightmare),5wfllwdjglyQislkskYLBv,"hip hop, ohio hip hop, pop rap, rap"
All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Run This Town,7LR85XLWw2yXqKBSI5brbG,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Bad Romance,0SiywuOBRcynK0uKGWdCnn,"art pop, dance pop, pop"
Down,6cmm1LMvZdB5zsCwX5BjqE,"dance pop, pop, pop rap, post-teen pop"
Monster,2UREu1Y8CO4jXkbvqAtP7g,"alternative metal, christian alternative rock, christian music, christian rock, post-grunge"
She's Country,0PspNrE4MSjr1JeB4OW0jn,"contemporary country, country, country road, modern country rock"
Fireflies,3DamFFqW32WihKkTVlwTYQ,"indietronica, pop"
Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,"hip hop, ohio hip hop, pop rap, rap"
Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,"indie folk, pop folk, stomp and flutter, stomp and holler"
Replay,5vlEg2fT4cFWAqU5QptIpQ,"dance pop, pop rap, post-teen pop"
