Song Name,Song ID,Genres
The Middle,6GG73Jik4jUlQCkKg9JuGO,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,"alternative metal, nu metal, rap metal, rock"
Island In The Sun,2MLHyLy5z5l5YRp7momlgw,"alternative rock, modern power pop, modern rock, permanent wave, rock"
Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,"alternative metal, nu metal, rap metal, rap rock, rock"
Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,"dance pop, neo mellow, pop, pop rock"
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,"alternative metal, canadian rock, post-grunge"
Toxicity,0snQkGI5qnAmohLE7jTsTn,"alternative metal, nu metal, rap metal, rock"
Bodies,7CpbhqKUedOIrcvc94p60Y,"alternative metal, industrial metal, nu metal, post-grunge, rap metal"
Aerials,4e9eGQYsOiBcftrWXwsVco,"alternative metal, nu metal, rap metal, rock"
Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,"alternative hip hop, modern rock, rock"
Me Gustas Tu,6b37xrsNCWYIUphFBazqD6,"latin alternative, world"
In Too Deep,1HNE2PX70ztbEl6MLxrpNL,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock"
It's Been Awhile,25CMmGsl22APKhfuj4Tp7j,"alternative metal, nu metal, post-grunge"
Fat Lip,4KacUpvbA3Mfo05gttTjhN,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock"
First Date,1fJFuvU2ldmeAm5nFIHcPP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Someday,7hm4HTk9encxT0LYC0J6oI,"alternative rock, garage rock, modern rock, permanent wave, rock"
New Slang - 2021 Remaster,0NslHuacjxQYfUTOW3HCIV,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, shimmer pop, stomp and holler"
Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,"alternative metal, funk metal, nu metal, post-grunge"
Last Nite,3SUusuA9jH1v6PVwtYMbdv,"alternative rock, garage rock, modern rock, permanent wave, rock"
She Hates Me,16DhvbuyvJob4Q9GHNYu2n,"alternative metal, nu metal, post-grunge"
Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,"dance pop, hip pop, neo soul, r&b, urban contemporary"
One Last Breath,42T2QQv3xgBlpQxaSP7lnK,"alternative metal, nu metal, post-grunge, rock"
Crazy Rap (Colt 45 & 2 Zig Zags),1ACZpHI5vZ5Ea4xGlkdGWM,comedy rap
Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,"contemporary r&b, dance pop, hip pop, philly rap, r&b, urban contemporary"
Fell In Love With a Girl,21Qsj3cMVCx2xF2EVVNbEu,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
Blurry,6lSr3iZTC144PKhvbPFzMp,"alternative metal, nu metal, post-grunge"
Wish You Were Here,6mFkJmJqdDVQ1REhVfGgd1,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap"
Sweetness,429IbFR4yp2J81CeTwF5iY,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Click Click Boom,2CGDxXXYbkPOyRXHzQbqkT,"alternative metal, nu metal, rap metal"
One More Time,5VEnzMXc8ocZko4M4TqnR2,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
U Got It Bad,7J41dYQolQJEtj3UmKLu5r,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Ol' Red,5wane5dFpp8xgriui6y0c7,"classic oklahoma country, contemporary country, country, country road, modern country rock"
Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,"disco house, filter house"
"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,"colombian pop, dance pop, latin pop, pop"
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,"australian dance, australian pop, dance pop, eurodance, new wave pop"
Picture (feat. Sheryl Crow),69j0KoPJuwpnbGWrfn7Yll,nu metal
Mexican Radio,419BgOz6TVQm8vvgiwXq5X,"chicano rap, latin hip hop, texas latin rap"
I Can Only Imagine,1G5S1rEr4L57ftizRHcYDP,"ccm, christian alternative rock, christian indie, christian music"
Amber,6Fe3Flc9SjE03pqwD6PVQl,"alternative metal, alternative rock, funk metal, funk rock, nu metal, rap rock, reggae fusion"
Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,"neo mellow, singer-songwriter"
Fallin',4KGGeE7RJsgLNZmnxGFlOj,gen z singer-songwriter
Schism,55mJleti2WfWEFNFcBduhc,"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock"
U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Wherever You Will Go,5QpaGzWp0hwB5faV8dkbAz,"neo mellow, pop rock, post-grunge"
QKThr,4LIM4qmpHABufePRrLWbiM,"ambient, braindance, electronica, intelligent dance music, uk experimental electronic"
Rock The Boat,0qvlhVNm7L5IWabWF5hlEL,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary"
Hash Pipe,2mPMFJvQ0v27gVqe5b6nDn,"alternative rock, modern power pop, modern rock, permanent wave, rock"
The Rock Show,2ydUT1pFhuLDnouelIv4WH,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Sonne,4w3R0GZ2rScJMKlgPJzHRq,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte"
Differences,0Uyh92tLyb9JawG8lmWCzJ,"contemporary r&b, hip pop, r&b, urban contemporary"
Survivor,2Mpj1Ul5OFPyyP4wB62Rvi,"dance pop, girl group, pop, r&b, urban contemporary"
My Sacrifice,2VSbEXqs6NbNiZSTcHlIDR,"alternative metal, nu metal, post-grunge, rock"
Crawling In The Dark,1PJRDeZSoZk7gtisdTYfLi,"alternative metal, funk metal, nu metal, pop rock, post-grunge"
Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,"alternative metal, funk metal, nu metal, rap metal, rap rock"
Over the Rainbow,3oQomOPRNQ5NVFUmLJHbAV,hawaiian
Get the Party Started,02jcEwywffn3Tsb48fXmlW,"dance pop, pop"
Ni Parientes Somos,2ANeBRTHe6N0dq7dz7CaVJ,"musica mexicana, norteno, ranchera"
I Must Be High,1Yc1mFmJrICDHQNzePG9wP,"chicano rap, latin hip hop, texas latin rap"
Outside,3sA7HKGzcKTVscdiTCrWpX,"baton rouge rap, rap"
We're Going to Be Friends,13lZDbwonGhOflQLQIfdtZ,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
Mama Tried - Remastered 2001,1FTlLpP6V05yJWmcIg0rlK,bakersfield sound
Out of Touch,7o67roCVsFiCt7Cf0ZLOJq,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
I'm Gonna Miss Her,4ipZsAA3YuqCDSXiPoEGIv,"contemporary country, country, country road"
Heaven Can Wait,1AZXNAVDD9ZFIEKySgflFz,"r&b, soul"
Where the Party At (feat. Nelly),5mNV8Mz59bzyuQ53gTw0c0,"atl hip hop, contemporary r&b, hip pop, r&b, urban contemporary"
Short Skirt / Long Jacket,3OOFEF20WqtsUPcRbPY3L7,"alternative rock, pop rock, post-grunge, sacramento indie"
Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop"
"Harder, Better, Faster, Stronger",5W3cjX2J3tjhG8zb6u0qHn,"electro, filter house, rock"
Bleed American,61XspFITuKmAlYdQacNCbF,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Ain't Nothing 'Bout You,5dPSCeB8Ly3RxNLme5bomi,"contemporary country, country, country road"
A Donde Vayas,3yb8pakJMZzfiK7siLZLUM,"grupera, gruperas inmortales, musica mexicana"
Drift Away - Single Version,6hJhVBOnkchxBsDHbLOBJP,northern soul
Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock"
Everywhere,254bXAqt3zP6P50BdQvEsq,"album rock, classic rock, rock, soft rock, yacht rock"
Control,3O8NlPh2LByMU9lSRSHedm,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
I'm Real (feat. Ja Rule) - Murder Remix,6MLsahMK3VvH9NUwXOktdS,"dance pop, pop, urban contemporary"
Break Ya Neck,7gKgd0P3dAAePiSQQBqrlf,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap"
I'm a Slave 4 U,6ldwfK0yWgTAlmIfuQkTYN,"dance pop, pop"
Hit 'Em Up Style (Oops!),4zYTZvtcww7OWKie7fxA9E,"hip pop, urban contemporary"
I'm A Believer - Radio Edit,1RC5Mb0VhnlhnMlFDnrvE0,"pop rock, post-grunge"
"Independent Women, Pt. 1",69XUpOpjzDKcfdxqZebGiI,"dance pop, girl group, pop, r&b, urban contemporary"
Try Again,6Wnlq1Pu3I0BajLvxn05Vr,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary"
For You,464HG7mt7NNKtKY0Hco8Y8,"alternative metal, nu metal, post-grunge"
Is This It,0jBE7Fn78EAvmIs3dCd6GO,"alternative rock, garage rock, modern rock, permanent wave, rock"
Austin,2WQAknZHrJAEQOFXe0F44P,"classic oklahoma country, contemporary country, country, country road, modern country rock"
Tear Away,3ENHpbTuY72FukZbwGP6bc,"alternative metal, industrial metal, nu metal, post-grunge, rap metal"
Life We Live (feat. Namond Lumpkin & Edgar Fletcher),3A4S0o95OxSgRbqEnEMsn4,"crunk, dirty south rap, gangster rap, memphis hip hop, trap"
