Song Name,Song ID,Genres
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
Numb,2nLtzopw4rPReszdYBJU6h,"alternative metal, nu metal, post-grunge, rap metal, rock"
In Da Club,4RY96Asd9IefaL3X4LOLZ8,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,alternative metal
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,"pop, r&b"
Toxic,6I9VzXrHxO9rA9A5euc8Ak,"dance pop, pop"
Dile,69Ej1xrGjOcHvIMtMKxK0G,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
21 Questions,41bIQPBE1lFN0mmw6Lmssz,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,"alternative metal, pop punk, post-grunge, socal pop punk"
I Miss You,1oTo3ijRbaDAtrjJrGAPSw,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,"neo soul, pop, r&b"
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
The Reason,77loZpT5Y5PRP1S451P9Yz,"alternative metal, funk metal, nu metal, pop rock, post-grunge"
Faint,4Yf5bqU3NK4kNOypcrLYwU,"alternative metal, nu metal, post-grunge, rap metal, rock"
Stacy's Mom,27L8sESb3KR79asDUBu8nW,"pop rock, power pop"
Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,"chicano rap, latin hip hop, pop rap, southern hip hop, texas latin rap, urban contemporary"
What Was I Thinkin',0r8iDf65NHgFgZOGLwj5r8,"contemporary country, country, country road, modern country rock"
Reptilia,57Xjny5yNzAcsxnusKmAfA,"alternative rock, garage rock, modern rock, permanent wave, rock"
Closing Time,1A5V1sxyCLpKJezp75tUXn,"pop rock, post-grunge"
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,"garage rock, modern rock, pop rock"
I Stand Alone,44NRdYQw7P0GWuiunRv3hr,"alternative metal, nu metal, post-grunge, rap metal"
P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
The Way You Move,5z7mYFfhw6N6f23VwrokJD,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
Where Is The Love?,0xmjwnQ3FNE6HuWCt2nHdZ,"dance pop, pop, pop rap"
Somewhere I Belong,3agtg0x11wPvLIWkYR39nZ,"alternative metal, nu metal, post-grunge, rap metal, rock"
Lying from You,3BmjRmFTESgWZLPSVGp8aG,"alternative metal, nu metal, post-grunge, rap metal, rock"
Someday,7hm4HTk9encxT0LYC0J6oI,"alternative rock, garage rock, modern rock, permanent wave, rock"
Red Dirt Road,3EZzghqykkfOB0Z8d0kTSt,"contemporary country, country, country road"
Roses,3vv9phIu6Y1vX3jcqaGz5Z,"electropop, pop"
Behind Blue Eyes,1MTQHCpraD4S8g5PAFKzoj,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
Always On Time,2lXJr5BkUPZpQUV2ZGN1Wv,"dance pop, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, queens hip hop, rap, urban contemporary"
El Águila Blanca,0crJsMs5FmnMHvQG1itkc0,"banda, corrido, musica bajacaliforniana, musica mexicana, norteno"
Maps,4gbVRS8gloEluzf0GzDOFc,pop
45,420JGkyLfLUZcgBHKiIK9v,"alternative metal, nu metal, post-grunge"
Right Thurr,0l3GEbH3CviUytD6iX4wzg,"crunk, dirty south rap, hip pop, pop rap, r&b, southern hip hop"
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
Going Under,3UygY7qW2cvG9Llkay6i1i,alternative metal
Rock Wit U (Awww Baby),6pWzCKTrKrwbUPzY8RLCoP,"dance pop, hip pop, r&b, urban contemporary"
Kokomo,5qHYXcVvc9xsFB2uH7GpMN,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop"
So Far Away,6FOpPA0a80RuBqqgDozvja,"alternative metal, nu metal, post-grunge"
Soul to Squeeze,3arKRnq9OUd7yq6LRwVW8I,"alternative rock, funk metal, funk rock, permanent wave, rock"
Slow Motion,6ihObRBTB8xdSH2mlERtOX,"bounce, crunk, dirty south rap, new orleans rap, southern hip hop, trap"
Feeling This,26AYR77170U49cMcXB7aRV,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
My Immortal,4UzVcXufOhGUwF56HT7b8M,alternative metal
Breaking the Habit,6n8TMVyFKoUmDc4apxceRD,"alternative metal, nu metal, post-grunge, rap metal, rock"
Suds in the Bucket,6NhpIdjYoufuNNlBsgOztc,"contemporary country, country, country dawn, country gospel, country road"
Sway,2ajUl8lBLAXOXNpG4NEPMz,"adult standards, canadian pop, jazz pop, lounge"
Just Like You,0CA3RxBx2xSQXPfpmUBK1v,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
Unholy Confessions,78XFPcFYN8YFOHjtVwnPsl,"alternative metal, nu metal"
Baby Boy (feat. Sean Paul),4WY3HyGXsWqjFRCVD6gnTe,"pop, r&b"
Can't Take My Eyes off You,0bfvHnWWOeU1U5XeKyVLbW,"adult standards, bubblegum pop, lounge, rock-and-roll"
Meant to Live,2md2i5QvelRFnafpnd6LOg,"ccm, christian alternative rock, christian music"
Such Great Heights - Remastered,4G21jWo0Cm6lOIUNnZ2mUI,"chamber pop, indie rock, indietronica, seattle indie"
Y'all Want a Single,2WSWm0zlL3CJRACHS5KXbB,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock"
Collie Man,0psXs0SxH2hGnJoj8C2fFf,"reggae fusion, reggae rock"
I Believe in a Thing Called Love,756CJtQRFSxEx9jV4P9hpA,"glam metal, hard rock"
If I Can't,7JeKXMQKm6GoLGTkNy2jZ0,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Frontin' (feat. Jay-Z) - Club Mix,0iFOG4Ki9aDmJUYUFHQlPG,"dance pop, pop"
Stillborn,3tS1VMpxp9bLn46Cyh09el,"alternative metal, groove metal, hard rock, metal, nu metal"
Until the Day I Die,0DKNNR9iDjwfCEpMiFXMJq,"neon pop punk, pop punk, screamo"
I Don't Want to Be,4vl2zwXsTmAxgu9iY0g6UK,"neo mellow, pop rock"
Let's Get It Started - Spike Mix,4hfIVhq0F0zFUcrbecsYmo,"dance pop, pop, pop rap"
Daughters,5FPnjikbwlDMULCCCa6ZCJ,"neo mellow, singer-songwriter"
Ignition - Remix,5dNfHmqgr128gMY2tc5CeJ,
Naughty Girl,0YGQ3hZcRLC5YX7o0hdmHg,"pop, r&b"
Grand Theft Autumn / Where Is Your Boy,3JOdLCIBzQYwHIvpN3isVf,"emo, modern rock, pop, pop punk, rock"
Into You (feat. Tamia),0yHConG49418wPs8UfAt44,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
