Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2000,Take A Look Around,Limp Bizkit,73,76,321040,False,2000-10-17,0.0175,0.425,0.852,0.306,11.0,0.0935,-5.607,1.0,0.046,101.968,0.512
2000,A Place for My Head,Linkin Park,84,72,184640,False,2000-10-24,0.0144,0.603,0.908,0.0,11.0,0.671,-5.254,1.0,0.184,133.063,0.457
2000,Awake,Godsmack,67,67,304373,True,2000-10-31,1.74e-05,0.395,0.756,0.00665,7.0,0.319,-4.12,1.0,0.0544,112.092,0.475
2000,Want You Bad,The Offspring,76,73,202573,False,2000-11-14,5.59e-05,0.491,0.966,0.0,4.0,0.307,-4.28,1.0,0.0538,105.544,0.614
2000,I Hope You Dance,Lee Ann Womack,56,66,294533,False,2000-01-01,0.0632,0.385,0.443,0.0,7.0,0.0898,-9.627,0.0,0.0295,151.278,0.275
2000,Mis Tres Viejas,Los Tucanes De Tijuana,75,70,162840,False,2000-11-12,0.523,0.92,0.629,0.0,10.0,0.116,-4.717,1.0,0.0343,98.865,0.968
2000,Kill You,Eminem,89,70,264400,True,2000-05-23,0.155,0.897,0.559,0.000127,11.0,0.296,-8.268,1.0,0.379,106.991,0.677
2000,Bitch Please II,"Eminem, Dr. Dre, Snoop Dogg, Xzibit, Nate Dogg",89,73,288200,True,2000-05-23,0.0783,0.918,0.586,0.0,1.0,0.145,-2.89,1.0,0.133,95.517,0.779
2000,I'm Like A Bird,Nelly Furtado,76,74,243160,False,2000,0.147,0.623,0.607,3.29e-06,10.0,0.227,-5.113,1.0,0.0353,89.654,0.614
2000,What's Your Fantasy (Featuring Shawna),"Ludacris, Shawnna",75,65,275906,True,2000-01-01,0.16,0.915,0.79,0.0,6.0,0.112,-3.186,0.0,0.207,140.095,0.967
2000,Judith,A Perfect Circle,60,67,247266,True,2000-01-01,3.45e-05,0.366,0.894,0.17,11.0,0.267,-4.682,0.0,0.0568,82.305,0.304
2000,Hey Jude - Remastered 2015,The Beatles,82,72,425653,False,2000-11-13,0.0112,0.386,0.607,1.38e-05,10.0,0.088,-7.7,1.0,0.0261,147.207,0.532
2000,Put It On Me,"Ja Rule, Vita",68,66,262826,True,2000-01-01,0.0024,0.831,0.79,0.0,1.0,0.0515,-4.714,0.0,0.165,93.14,0.791
2000,Secreto De Amor,Joan Sebastian,75,73,273008,False,2000-04-05,0.76,0.569,0.483,4.75e-05,2.0,0.106,-7.111,1.0,0.0421,96.502,0.624
2000,Hemorrhage (In My Hands),Fuel,55,63,236866,False,2000-09-19,0.000144,0.301,0.823,0.000309,1.0,0.0833,-4.072,1.0,0.0433,152.017,0.372
2000,I Will Survive - Single Version,Gloria Gaynor,63,68,198066,False,2000-01-01,0.0131,0.777,0.725,0.00805,0.0,0.246,-8.681,1.0,0.05,116.669,0.529
2000,I Wanna Know,Joe,63,68,296693,False,2000-04-18,0.26,0.725,0.487,1.09e-05,8.0,0.431,-5.959,0.0,0.0368,136.086,0.599
2000,Me Gusta Vivir De Noche,Los Tucanes De Tijuana,75,70,215680,False,2000-11-01,0.335,0.898,0.594,0.000822,5.0,0.254,-6.003,1.0,0.0479,119.709,0.953
2000,This I Promise You,*NSYNC,69,69,284760,False,2000-03-21,0.354,0.55,0.587,0.0,2.0,0.128,-6.279,1.0,0.0329,165.975,0.466
2000,Todo Me Gusta De Ti,Aaron Y Su Grupo Ilusion,56,69,247893,False,2000-01-01,0.176,0.64,0.505,0.0,10.0,0.0769,-5.766,1.0,0.0362,180.625,0.786
2000,Passenger,Deftones,77,66,368666,False,2000-05-16,0.00188,0.345,0.797,0.0668,0.0,0.145,-6.152,1.0,0.0551,117.987,0.223
2000,Points of Authority,Linkin Park,84,70,200240,False,2000-10-24,0.03,0.512,0.97,0.0,8.0,0.0994,-3.886,0.0,0.212,94.952,0.427
2000,By Your Side,Sade,72,71,274933,False,2000-11-13,0.0849,0.653,0.429,0.00371,11.0,0.0693,-10.473,1.0,0.0297,146.073,0.627
2000,E.I.,Nelly,73,64,285906,True,2000-06-27,0.0732,0.834,0.481,0.0,2.0,0.0934,-7.824,0.0,0.188,89.849,0.406
