Song Name,Song ID,Genres
Halo,4JehYebiI9JE8sR8MisGVb,"pop, r&b"
You Are the Best Thing,1jyddn36UN4tVsJGtaJfem,"acoustic pop, indie folk, neo mellow, stomp and holler"
Take A Bow,3goSVuTt3fDYDP6kRnFwuL,"barbadian pop, pop, urban contemporary"
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,"hip hop, new orleans rap, pop rap, rap, trap"
Sound of Madness,0W9Xvd4Qx1aZPxEi94vgRY,"alternative metal, nu metal, post-grunge"
Mayonaka no Door / Stay With Me,2BHj31ufdEqVK5CkYDp9mA,classic city pop
Touch My Body,2aEuXA1KswHlCGPOuPmCOW,"dance pop, pop, urban contemporary"
Mrs. Officer,0EHR9OObFtjlhQB8wSt1m7,"hip hop, new orleans rap, pop rap, rap, trap"
Breakeven,285hMzLhJwHVLe9QT9qilk,"celtic rock, pop"
Troubadour,4qjmnM1aYvayCTDd0uuRKH,"contemporary country, country, country road"
Still Counting,7nsO4eXkY7DvrWbjYUDLJS,"danish metal, danish rock"
Lucky,0IktbUcnAGrvD03AWnz3Q8,"acoustic pop, dance pop, neo mellow, pop"
Closer,7BKLCZ1jbUBVqRi2FVlTVw,"electropop, pop"
For Emma,2nilAlGEZmwyaLTMMyDdLo,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
Harness Your Hopes - B-side,4vsoWZcvtvSsE0OiVvDDvX,"alternative rock, chamber pop, indie rock, lo-fi, shoegaze"
Undead,5wBLDkxVvclanSitx5jq8e,"alternative metal, modern rock, post-grunge, rap metal, rap rock"
When I Grow Up,5rLyYxZNzca00ENADO9m54,"hip hop, pop rap"
Put On,3OePAyHePd68TTKmy2hjq0,"atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap"
Blame It,08uGhvS5MfBk7crUCpnjva,"contemporary r&b, hip pop, r&b, southern hip hop, trap, urban contemporary"
ゆめうつつ,1GTC0DN9LGOdP0NdvoHyX7,japanese alternative pop
Arms Tonite,1rRwwqteLePmi70PGaC8ah,"pov: indie, vancouver indie"
Thriller,3S2R0EVwBSAVMd5UMgKTL0,"r&b, soul"
Lonely East Texas Nights,75qTWvk6QCGRr1V31Q41qz,"classic texas country, modern southern rock"
Vanished,0Q2YGyMeeZMAvzebtxoQ5f,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore"
Halo,4JehYebiI9JE8sR8MisGVb,"pop, r&b"
Dangerous,1MX19fnaW1OUQoglWTYaOo,contemporary country
Right Now (Na Na Na),5Ravsw8TmHN5wBiYPPYUFw,dance pop
Blue Side Of The Mountain,5RQsNib1m9Hxo2AIjJcdpK,"bluegrass, modern southern rock, neo-traditional bluegrass, new americana"
Risk,0lqHgjNrXmtFroWDqwV1iQ,"alternative metal, nu metal, rap metal, rock, sacramento indie"
Indestructible,42ZVk59gT4tMlrZmd8Ijxf,"alternative metal, nu metal, rap metal, rock"
Savior,1vcxF91pWs9uNwDROuiCPB,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
If U Seek Amy,2hdy9Wt9qp7M7d0U3ossu2,"dance pop, pop"
Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,"pop, r&b"
If It Hadn't Been For Love,7DQjWFjaiPULrsqgsZueF3,"bluegrass, modern southern rock, neo-traditional bluegrass, new americana"
Where I've Been,4oNRSiodl43zieCRCVwbeO,"modern country pop, modern country rock"
It's Not My Time,0uybt73QFXaLCoxuVf6fhm,"alternative metal, nu metal, post-grunge, rock"
Dead And Gone,7IhsLJMqdxoo7YAZjaSMru,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,pop
Say Hey (I Love You) (feat. Cherine Tanya Anderson),383B8ksM58jbV3HbiRJo0K,reggae fusion
Breakin' Dishes,46aZJc0z1HHHSFxaIRxYSP,"barbadian pop, pop, urban contemporary"
Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9,miami hip hop
I Don't Care - Single Version,7ewT0nLFkMD8ONbRibePr9,"emo, modern rock, pop, pop punk, rock"
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,"neo mellow, singer-songwriter"
二十歳の恋,1EA40FX9aBaKIXwIp83WzL,japanese alternative pop
Heaven Sent,0kuP3lMxCikBd7nPBIdjv8,emoplugg
Body,21RzyxY3EFaxVy6K4RqaU9,"edm, pop dance"
Diamond Eyes,6nmDEbjMZru5j55HIkX2yZ,"alternative metal, nu metal, rap metal, rock, sacramento indie"
If I Were a Boy,26NX1wPt1TRCH536yocd6i,"pop, r&b"
If Today Was Your Last Day,4QJLKU75Rg4558f4LbDBRi,"alternative metal, canadian rock, post-grunge"
Sweet Dreams,1TfqLAPs4K3s2rJMoCokcS,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Mrs. Officer,0EHR9OObFtjlhQB8wSt1m7,"hip hop, new orleans rap, pop rap, rap, trap"
Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,"indie rock, indietronica"
Let It Rock,6TrNRd98WksT9Kkmx9uj6R,"pop rap, wrestling"
Breakeven,285hMzLhJwHVLe9QT9qilk,"celtic rock, pop"
Good Time,1kPpge9JDLpcj15qgrPbYX,"indietronica, pop"
For the Glory of...,6J4VOoKhRZFNeWkVH0WTzH,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal"
Na De Na,2Jz1X6ZB0gkkCVgmeVGVGp,"latin hip hop, reggaeton"
Wobble,6JLcz9UGiVxAmEZXlCucn5,"atl hip hop, futuristic swag"
Campus,1eNrlXlW7Cj1QB1YUcZmpb,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
I Like To Move It,4bAFo6r2ODMDoqM5YHV2gM,"dance pop, pop"
You Belong With Me,1qrpoAMXodY6895hGKoUpA,pop
We Are The People,3zEN0ii6s4DHHBpnTp3RP7,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Beauty School,5sUCU4eiyf0pplIJ7OGEoc,"alternative metal, nu metal, rap metal, rock, sacramento indie"
Nine in the Afternoon - Single Mix,1S30kHvkkdMkcuCTGSgS41,pop
Something in Your Mouth,6wO0vMRAJB0r1lEWBJZNOq,"alternative metal, canadian rock, post-grunge"
Permitame,0X5jHsNHshuHNfAWs1sxQ5,"reggaeton, urbano latino"
Just Got Started Lovin' You,4b0XF7CDpJEBAdVHMw7amV,country road
Human,5AihIu9yF3flkw1jFMyfwW,"classic texas country, contemporary country"
Inside the Fire,5cxp9kjCFyJwzv3lzeX7ku,"alternative metal, nu metal, rap metal, rock"
Shut Up And Drive,4QdX6pmNnJ5cleufWQIr5D,"barbadian pop, pop, urban contemporary"
My Way - 2008 Remastered,2YkIDPL5lGhRhomCq4S2RO,"adult standards, easy listening, lounge"
Mad,0QHEIqNKsMoOY5urbzN48u,"hip pop, pop"
Lovebug,3F8xLc6T4VvKH7I6wqVAN2,"boy band, pop"
Love Lockdown,1kxeWHF9PrCVZHvVskv8lg,"chicago rap, hip hop, rap"
Re-Education (Through Labor),6c1Bdvp208X0jbLmFnWbkC,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
Take You There,6AdLyvisRKHLAwARaZMGr6,"dance pop, miami hip hop, pop"
A Quick One Before the Eternal Worm Devours Connecticut,34dkZZNQJzEJRqPkywYmEY,"blackgaze, doomgaze, dream pop, nu gaze"
Sexy Can I,1q51MejmtLKEv8mABG8XRE,pop rap
Little Bit,524wvipGqxPKYWxkjf9y46,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Crimewave,3TjliM0xQ3fkza0RpINRrq,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore"
Llamado de Emergencia,2jnZUvhw2LTvDI6YidRVcO,"latin hip hop, reggaeton, trap latino, urbano latino"
Pa' Que La Pases Bien,1pLCpA1RN8avJxSD3ZCwhj,"latin hip hop, reggaeton, trap latino, urbano latino"
The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf,"celtic rock, pop"
Diva,5Ssv6DaKrW0HczVqx6zXdl,"pop, r&b"
Two Weeks,04uR2cdkgiaLIzebPcs25m,"art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america"
Flume,0bhBtXHQX3u6dSAPF59qGx,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
Feel Good Drag,3EuiMoY8lTjAvIqNf8Uyr3,"pop emo, pop punk"
Amazing,4fUMgL19kixzHhrttFZXsD,"pop, singer-songwriter pop, uk pop"
Re: Stacks,20AC70RUlVz6A6dCcQ5tRS,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
Should've Been A Cowboy,4TJUS843fKiqqIzycM74Oy,"classic oklahoma country, contemporary country, country, country road"
Can't Believe It (feat. Lil' Wayne),4D2cYdHqk8tu65jUig4OcN,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
Pork And Beans,7wclPheMJAUKn2njmO2s3A,"alternative rock, modern power pop, modern rock, permanent wave, rock"
Virgen,1HWbpfmzt1YplLceHgirCv,"salsa, salsa venezolana, tropical"
Fall for You,2fywBLXK9GQi8YR8C8d3c4,"neon pop punk, piano rock, pixie, pop punk"
P.Y.T. (Pretty Young Thing),1CgmY8fVN7kstVDZmsdM5k,"r&b, soul"
Turn My Swag On,6ATrsVaZT7XjkCynxM8cTS,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Paranoid,1Y373MqadDRtclJNdnUXVc,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
Snuff,3RptaQ5Xb8WvtpItZ2f9Hi,"alternative metal, nu metal, rap metal, rock"
Love Story,3CeCwYWvdfXbZLXFhBrbnf,pop
La Borrachera,4BdYvtV6Qg461Vdcyr3j8X,"banda, corrido, musica mexicana, norteno, sierreno"
Beautiful,2rxQMGVafnNaRaXlRMWPde,"contemporary country, country"
Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,"pop, r&b"
Replay,5vlEg2fT4cFWAqU5QptIpQ,"dance pop, pop rap, post-teen pop"
That Lonesome Song,3R8YbAsBsFnGIKL25s6iiO,"country, country road, outlaw country"
Bust Your Windows,56z2qI0gKcPthQF6l8AW3E,"hip pop, neo soul, r&b, urban contemporary"
It Won't Be Like This For Long,4gzeYkzuzxuzAUTsGcdjqA,"black americana, contemporary country, country, country road, modern country rock"
Oxford Comma,0ful4PHfTIxzXiZSZsXQ0H,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Leavin',4cA2NmoE75r4yU7oeq4QGG,"classic oklahoma country, modern country pop"
Blue Ridge Mountains,7bzzC7QIfflM9eEj2aqaYX,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler"
Fly Me To The Moon - 2008 Remastered,7FXj7Qg3YorUxdrzvrcY25,"adult standards, easy listening, lounge"
El Bazucazo,4zShCKR8dEqLNMTlZkH6zJ,"banda, corrido, musica mexicana, sierreno"
Diamond Eyes (Boom-Lay Boom-Lay Boom),1PLMK1ui86iHHG3FM1N7ue,"alternative metal, nu metal, post-grunge"
"Love in This Club, Pt. II",2bppvcuQhuMcJZHtM9So7r,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
High Cost Of Living,73sWpECi7iZrcISLSRxuaH,"country, country road, outlaw country"
Hate My Life,5zcLnqZbAjDGXX7HNcT1rE,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge"
It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,"pop rap, reggae fusion"
Handlebars,6JH9yWhgbm0y9iAJhCslNc,"conscious hip hop, nerdcore"
You And I,1tuSpba0RXUMubHpAOWlMN,"bedroom pop, bedroom r&b"
Te Presumo,3EjuEvxoNgHV6urIdPA4cl,"banda, banda sinaloense, musica mexicana, norteno"
Call Me,3TGRqZ0a2l1LRblBkJoaDx,"canadian pop, dance pop, pop"
"Theme From New York, New York - 2008 Remastered",0K2WjMLZYr09LKwurGRYRE,"adult standards, easy listening, lounge"
What Kinda Gone,7uPReljrrTaqzDCcx4JHmi,"contemporary country, country, country road"
Don't Think I Don't Think About It,0XfFxeXzMkIy5SWAVpOQin,"black americana, contemporary country, country, country road, modern country rock"
Crush,3VA4sjTMSTTF02hFGmlpJh,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Gotta Be Somebody,06T10fEzN8ZCcqzQZYA184,"alternative metal, canadian rock, post-grunge"
Uneasy Hearts Weigh The Most,5oC0AAgJ7RoWOT3HznLMe1,"pixie, pop punk, sacramento indie, screamo, swancore"
976-EVIL,3hb4W4FUPjyWUbYY2Sfih5,"alternative metal, nu metal, rap metal, rock, sacramento indie"
Fearless,77sMIMlNaSURUAXq5coCxE,pop
7 Things - Single Version,5ecZWU5uQOiCVSnPxBZNmT,pop
Highway 20 Ride,1XdlLIfwryo38EZ7OzdoEG,"contemporary country, country, country road, modern country rock"
Mercy,0AS63m1wHv9n4VVRizK6Hc,"canadian pop, pop, viral pop"
Shattered (Turn The Car Around),6jlqDfX8TQNxcaAz5oxYJA,"neo mellow, pop rock"
Lay All Your Love On Me,4euAGZTszWPrriggYK0HG9,"europop, swedish pop"
Boots On,7K4VxvIXXbDbaVn6ARbch1,"contemporary country, country, country road"
Please Don't Leave Me,2gnZad0pb6QtUqMLTj2AjI,"dance pop, pop"
Street Lights,6j8gTlbhj9KJSeypNcNAS9,"chicago rap, hip hop, rap"
Mr. Carter,2tQM1BUrXp2kqOM6mN11TC,"hip hop, new orleans rap, pop rap, rap, trap"
Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack,74wySERHHxB8Ul9A0CNBla,movie tunes
Body On Me,2IyL2CyHoenwQLds5jSuqK,"dance pop, hip pop, r&b, urban contemporary"
Ghosting,3vZUC1m6QVm7urnN6lcF64,"pov: indie, vancouver indie"
Swing,3VCXx37jNGNOMns6z2OnvJ,modern dream pop
Hasta El Día De Hoy,7z5jPeiVTBP7bGNk3AY7dg,"classic sierreno, corrido, musica mexicana, sierreno"
Te Ves Fatal,3UDrV1szZNsxoeb5v7vgIf,"banda, duranguense, grupera, musica mexicana, norteno"
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",0exb0K7vsjf5bXWLJJhAuF,"dirty south rap, miami hip hop, southern hip hop, trap"
I Don't Care - US Version,3bAoghFUTVwGYXYnzRqhCf,"cello, finnish metal"
American Boy,6etwirSInfuJrSOlogS6Sh,"neo soul, r&b"
Fifteen,2nqio0SfWg6gh2eCtfuMa5,pop
A Drop in the Ocean,5JDcQAztvZTIkrWoZihgvC,"acoustic pop, neo mellow, piano rock, viral pop"
"Honey, Honey - From 'Mamma Mia!' Original Motion Picture Soundtrack",6P4XyViJkq9QGEHtzfMIrH,hollywood
Sober,6YuFv5d7iGeNnFMu6xphZl,"atl hip hop, hip hop, rap"
Closer,7BKLCZ1jbUBVqRi2FVlTVw,"electropop, pop"
In My Arms Instead,4hFSl2YfBUCY7RgZ8OhwCO,"classic texas country, outlaw country, red dirt, texas country"
Rock N Roll Train,4feXJ5IC3avXsVW9WNFSag,"australian rock, hard rock, rock"
Psychosocial,3RAFcUBrCNaboRXoP3S5t1,"alternative metal, nu metal, rap metal, rock"
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,"dance pop, miami hip hop, pop"
Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,33trZRsRCHDPemnACBcLJJ,"hollywood, show tunes"
Shakin' Hands,4Jn9QEd4nKFPqeCdL4TsZM,"alternative metal, canadian rock, post-grunge"
"On the Road Again - Live at Austin, Texas - Fall 1979",74ft1k0SgskENu7H61ZXdB,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter"
Hell Yeah,3QHGfxhjexLaMKGHXagfRs,"glitchcore, plugg, rage rap"
Still Not a Player (feat. Joe),5PG3h38oiQLEJlOuOvIs80,"bronx hip hop, east coast hip hop, hardcore hip hop"
Get Like Me,2IBF9lQ9lgVai8LkskI5L7,"conscious hip hop, crunk, dirty south rap, mississippi hip hop, southern hip hop"
Mamma Mia - From 'Mamma Mia!' Original Motion Picture Soundtrack,4nI8e3fy1hHvhCvJURv5JI,"hollywood, show tunes"
Untrust Us,6RpuNjTsUQo7eByN3kWvYx,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore"
Furr,2fgbsGWU2Dum08uifQHhiB,"indie folk, modern folk rock, new americana, portland indie, stomp and holler"
Gamma Ray,2iWfZFAF8BCi0CY4NyuP8D,"alternative rock, anti-folk, permanent wave, rock"
Independent (feat. Lil' Boosie and Lil' Phat),65D95SmygxGCQGiI64eaZf,"baton rouge rap, crunk, dirty south rap, trap"
Got Money,46lIt6GmL0VkkbuUyGDbCs,"hip hop, new orleans rap, pop rap, rap, trap"
Angel,1daDRI9ahBonbWD8YcxOIB,pop
Hometown Glory,19QzuPTNZHJ2SEu5LCQTGI,"british soul, pop, pop soul, uk pop"
Porcelain,5fJAYWoFgXm26HLNViFiUh,"downtempo, electronica"
Plastic Love,7rU6Iebxzlvqy5t857bKFq,"classic city pop, idol kayo, japanese singer-songwriter"
Here I Am,67yGTWcR72BZvsrSS2dHST,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap"
