Song Name,Song ID,Genres
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,"alternative rock, dance rock, modern rock, permanent wave, rock"
All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,"chicago rap, hip hop, rap"
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Mockingbird,561jH07mF1jHuk7KlaeF0s,"detroit hip hop, hip hop, rap"
Somewhere Only We Know,0ll8uFnc0nANY35E0Lfxvg,"neo mellow, piano rock, pop rock"
Rapp Snitch Knishes feat. Mr. Fantastik,5KUNwkaNf8l5A9sXZhiCgI,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop"
Float On,2lwwrWVKdf3LR9lbbhnr6R,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie"
Somebody Told Me,6PwjJ58I4t7Mae9xfZ9l9v,"alternative rock, dance rock, modern rock, permanent wave, rock"
American Idiot,6nTiIhLmQ3FWhvrGafw2zj,"modern rock, permanent wave, punk, rock"
Duality,61mWefnWQOLf90gepjOCb3,"alternative metal, nu metal, rap metal, rock"
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,"dance pop, pop, talent show"
Gasolina,228BxWXUYQPJrJYHDLOHkj,"latin hip hop, reggaeton, trap latino, urbano latino"
My Boo,68vgtRHr7iZHpzGpon6Jlo,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Take Me Out,20I8RduZC2PWMWTDCZuuAN,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,"emo, modern rock, pop punk, pov: indie, rock"
Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,"chicago rap, hip hop, rap"
Save a Horse (Ride a Cowboy),5s7m2xNZWgz5FqVSIvJcGA,"contemporary country, country, country road"
"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,"dance pop, hip pop, pop, r&b, urban contemporary"
Helena,5dTHtzHFPyi8TlTtzoz1J9,"emo, modern rock, pop punk, pov: indie, rock"
One Beer,4BnrGx9tWNF8aiXl1UhDBa,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop"
Cold,6ZxrUCaynLgKSUudACOTwj,"alternative metal, nu metal, post-grunge"
Unwritten,3U5JVgI2x4rDyHGObzJfNf,"dance pop, pop, post-teen pop"
Hollaback Girl,0LzrhCZFXW94Y8nwtTuRlw,"dance pop, pop"
"Lo Que Pasó, Pasó",26QKsGW4hMuwiEE1ftUMHe,"latin hip hop, reggaeton, trap latino, urbano latino"
Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,"crunk, dirty south rap, north carolina hip hop, southern hip hop"
Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,"modern rock, permanent wave, punk, rock"
Yo Voy (feat. Daddy Yankee),5gflgO9EPbIBf16n5TKnQS,"reggaeton, urbano latino"
Before I Forget,6wqJeItl3Vc3az4ZicSQAB,"alternative metal, nu metal, rap metal, rock"
1985,5oQcOu1omDykbIPSdSQQNJ,"neon pop punk, pop punk, texas pop punk"
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
Call Me,3TGRqZ0a2l1LRblBkJoaDx,"canadian pop, dance pop, pop"
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,"chicago rap, dirty south rap, gangster rap, trap"
Live Like You Were Dying,7B1QliUMZv7gSTUGAfMRRD,"contemporary country, country, country road"
My Band,4XHQyvbrBsQaaBUW1VvmsL,"detroit hip hop, gangster rap, hip hop"
I'll Be Around (feat. Timbaland) - Club Mix,2TIGwYiQYr1N5zTOQToDfK,atl hip hop
Hoe Cakes,4b82tXj35SycILuILcgBQ6,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop"
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,"edm, electronic trap, pop, pop dance"
All These Things That I've Done,5vollujufHY0jMZxx77VWr,"alternative rock, dance rock, modern rock, permanent wave, rock"
Bless The Broken Road,4YjjNHtEsTX6Af4mCTupT5,"contemporary country, country, country road, modern country rock"
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,"edm, electronic trap, pop, pop dance"
In My Room,7CiDwKE62N6ey3LyG6s7xc,singer-songwriter pop
Scars,1UREw2MCfU0xwBzCAjxlUD,"alternative metal, nu metal, rap metal, rap rock, rock"
All Caps,21O0XXPEWPtePt5RMY93Ob,"abstract hip hop, alternative hip hop, hip hop, psychedelic hip hop"
Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,"chicago rap, dirty south rap, gangster rap, trap"
Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,"chicago rap, hip hop, rap"
When the Sun Goes Down,5vLonpxn4VN0A8GtQOBSG0,"contemporary country, country, country road, modern country rock"
Rosas,06p2Ij0lXD45LODQDCov0u,"latin arena pop, latin pop, mexican pop, spanish pop, spanish pop rock"
Broken,2fXwCWkh6YG5zU1IyvQrbs,"pop, r&b, rap"
Confessions Part II,7wBThXx7BGZHJJ3aN3OPvv,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Amber,6Fe3Flc9SjE03pqwD6PVQl,"alternative metal, alternative rock, funk metal, funk rock, nu metal, rap rock, reggae fusion"
Lovers And Friends,41PWz0hAiU9FqsmjR9Wh62,"atl hip hop, atlanta bass, crunk, dirty south rap, old school atlanta hip hop, southern hip hop"
Burn,5jfhLCSIFUO4ndzNRh4w4G,"classic oklahoma country, modern country pop"
Goodies (feat. Petey Pablo),3dFwpxh2yH7C7p9BGEKLVB,"dance pop, hip pop, pop, r&b, urban contemporary"
Some Beach,7kWeSMXLxUHHOkFxsS0vhP,"classic oklahoma country, contemporary country, country, country road, modern country rock"
Accidentally In Love,4ccM2xBxicGigjLqt6A0YY,"neo mellow, pop rock, post-grunge, rock"
Because of You,6CFPFnS9EcLs2I0nWqtWci,"dance pop, pop, r&b, urban contemporary"
Rich Girl,0qRR9d89hIS0MHRkQ0ejxX,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
Beautiful Soul,1HwpWwa6bnqqRhK8agG4RS,"dance pop, pop, post-teen pop"
Tipsy - Club Mix,0jSMveIWvnhDIvzqN74Uc7,"dirty south rap, southern hip hop"
