Song Name,Song ID,Genres
Promiscuous,2gam98EZKrF9XuOkU13ApN,"canadian latin, canadian pop, dance pop, pop"
Our Song,15DeqWWQB4dcEWzJg15VrN,pop
Teenagers,7j31rVgGX9Q2blT92VBEA0,"emo, modern rock, pop punk, pov: indie, rock"
Maneater,4wH4dJgrsxONID6KS2tDQM,"canadian latin, canadian pop, dance pop, pop"
Me & U,7k6IzwMGpxnRghE7YosnXT,"dance pop, hip pop, pop rap, r&b, urban contemporary"
Face Down,4wzjNqjKAKDU82e8uMhzmr,"alternative metal, neon pop punk, pop punk, post-grunge, screamo"
Smack That,2kQuhkFX7uSVepCD3h29g5,dance pop
Cherry Waves,70L6nHORQsblY813yNqUR3,"alternative metal, nu metal, rap metal, rock, sacramento indie"
The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,"dance pop, pop"
Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,"british soul, neo soul, pop soul, soul"
Chasing Cars,5hnyJvgoWiQUYZttV4wXy6,"irish rock, modern rock, neo mellow, permanent wave, pop rock"
Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
When You Were Young,70wYA8oYHoMzhRRkARoMhU,"alternative rock, dance rock, modern rock, permanent wave, rock"
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,"dance pop, pop"
The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,"alternative metal, nu metal, post-grunge"
Crazy,4RMm3bonEDyYj5aJGkaJqX,florida rap
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,"emo, modern rock, pop punk, pov: indie, rock"
Picture To Burn,32mVHdy0bi1XKgr0ajsBlG,pop
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,"dance pop, pop"
Dani California,10Nmj3JCNoMeBQ87uw5j8k,"alternative rock, funk metal, funk rock, permanent wave, rock"
So Sick,6brl7bwOHmGFkNw3MBqssT,"dance pop, pop, r&b, urban contemporary"
Say It Right,2aI21FnmY7TJVKeMaoQZ0t,"canadian latin, canadian pop, dance pop, pop"
SOS,30cSNer6TV8x2utjULVeQ5,"barbadian pop, pop, urban contemporary"
Miss Murder,0Ti2dlF2xLjXblvdU5fCxM,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo"
Fergalicious,1D066zixBwqFYqBhKgdPzp,"dance pop, pop"
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,"alternative rock, funk metal, funk rock, permanent wave, rock"
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,"alternative rock, modern rock, permanent wave, rock"
My Love (feat. T.I.),4NeOWqHmlrGRuBvsLJC9rL,"dance pop, pop"
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,"neo mellow, singer-songwriter"
All Around Me,1zN6ynJG4PdR61YWv4PQ3Y,"alternative metal, christian alternative rock, nu metal, pop punk, post-grunge"
I'm So Sick,3FP8A246XpuafFofRhDlWG,"alternative metal, christian alternative rock, nu metal, pop punk, post-grunge"
Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,"contemporary country, country, country road, modern country rock"
Riot,4aOOExMBUyxKnEYb39SrTg,"emo rap, miami hip hop"
MakeDamnSure,6fTgbkBiMITtHUmik95ClX,"emo, pop punk, screamo"
Would You Go With Me,1KhrAWvLIjRlQIJtSTgvsi,"contemporary country, country, country road"
Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,"contemporary country, country, country road, modern country rock"
What Hurts The Most,4bVuIlGQBMWS7vIhcx8Ae4,"contemporary country, country, country road, modern country rock"
When I See U,4iuNZTcvT9diFySSzVsnVS,"contemporary r&b, hip pop, r&b, urban contemporary"
Never Too Late,3HE50TVRquwXe9yv2HFoNL,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
Young Folks,4dyx5SzxPPaD8xQIid5Wjj,"alternative dance, baroque pop, dance-punk, indie rock, modern rock, new rave, shimmer pop, swedish alternative rock, swedish indie pop"
Prayer Of The Refugee,4OSbctVD37ycS0H3rwRm72,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
Teardrops On My Guitar - Radio Single Remix,7zMcNqs55Mxer82bvZFkpg,pop
Upside Down,0aJrYfARfCKzv6gXjhs4SZ,neo mellow
Should've Said No,16MVSD0mGI4RMQT83Qzm69,pop
Who Knew,2hns6Dv29Yrg68AVTJiAyA,"dance pop, pop"
Salió El Sol,48NXpYRuvv9izul4oXhqS9,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
Your Man,1WzAeadSKJhqykZFbJNmQv,"contemporary country, country, country road"
Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,"neo mellow, singer-songwriter"
The Power Of Love,2olVm1lHicpveMAo4AUDRB,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock"
Tim McGraw,0Om9WAB5RS09L80DyOfTNa,pop
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,"atl hip hop, crunk, dance pop, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap"
Big Girls Don't Cry (Personal),4AniPkv5vgdE1n6VKreiyI,"dance pop, pop"
Give It Away,0uppYCG86ajpV2hSR3dJJ0,"alternative rock, funk metal, funk rock, permanent wave, rock"
This Is Halloween,01YROQCnF1AQm7SCWJmD2o,halloween
Famous Last Words,2d6m2F4I7wCuAKtSsdhh83,"emo, modern rock, pop punk, pov: indie, rock"
Crazy Bitch,3Lc65aYhtNRO19Fnq2oMb8,"alternative metal, glam metal, hard rock, nu metal, post-grunge, sleaze rock"
Scotty Doesn't Know,1LkoYGxmYpO6QSEvY5C0Zl,
Watching You,5OusUgzHz6Ulb3GZT7WUo5,"contemporary country, country, country road"
My Curse,6zKF4293k44ItKWJJgrhXv,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal, post-grunge"
My Alcoholic Friends,2gvmxusSOe3vNjNDjQWaso,"boston rock, dark cabaret, piano rock, steampunk"
