Song Name,Song ID,Genres
Sparks,7D0RhFcb3CrfPuTJ0obrod,"permanent wave, pop"
Yellow,3AJwUDP919kvQ9QcozQPxg,"permanent wave, pop"
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,"detroit hip hop, hip hop, rap"
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,"alternative metal, nu metal, post-grunge, rock"
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
In the End,60a0Rd6pjrkxjPbaKzXjfq,"alternative metal, nu metal, post-grunge, rap metal, rock"
Change (In the House of Flies),51c94ac31swyDQj9B3Lzs3,"alternative metal, nu metal, rap metal, rock, sacramento indie"
One Step Closer,3K4HG9evC7dg3N0R9cYqk4,"alternative metal, nu metal, post-grunge, rap metal, rock"
It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,"contemporary country, country, country road, outlaw country"
Stan,1fXnu2HzxbDtoyvFPWG3Bw,"chicago drill, chicago rap, drill, hip hop, rap, trap"
Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,"pop rap, reggae fusion"
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,"boy band, dance pop, pop"
Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,"alternative metal, nu metal, rap metal, rock"
"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,"dance pop, pop"
Crawling,57BrRMwf9LrcmuOsyGilwr,"alternative metal, nu metal, post-grunge, rap metal, rock"
It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,"boy band, dance pop, pop"
Me and the Birds,4wEuNvb7oG8oZYrZPZ9rPr,slowcore
Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
Papercut,1Vej0qeQ3ioKwpI6FUbRv1,"alternative metal, nu metal, post-grunge, rap metal, rock"
