Song Name,Song ID,Genres
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,"detroit hip hop, hip hop, rap"
Till I Collapse,4xkOaSrkexMciUUogZKVTS,"detroit hip hop, hip hop, rap"
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,"dance pop, pop"
Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,"alternative rock, funk metal, funk rock, permanent wave, rock"
Superman,4woTEX1wYOTGDqNXuavlRC,"detroit hip hop, hip hop, rap"
Hot In Herre,04KTF78FFg8sOHC1BADqbY,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Get Low,0r2Bul2NuCViraT2zX1l5j,"atl hip hop, atlanta bass, crunk, dirty south rap, old school atlanta hip hop, southern hip hop"
The Scientist,75JFxkI2RXiU7L9VXzMkle,"permanent wave, pop"
This Love,6ECp64rv50XVz93WvxXMGF,pop
Headstrong,1AEYT6VxrxXPMoQUxsY0E4,"alternative metal, nu metal, post-grunge"
Foolish,6zMUIb4uce1CzpbjR3vMdN,"dance pop, hip pop, r&b, urban contemporary"
The Red,1gyee1JuFFiP476LQpRMYU,"alternative metal, christian rock, nu metal, post-grunge"
Complicated,5xEM5hIgJ1jjgcEBfpkt2F,"canadian pop, candy pop, pop"
The Anthem,0BRHnOFm6sjxN1i9LJrUDu,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge"
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,"canadian pop, candy pop, pop"
Dilemma,0ARK753YaiJbpLUk7z5yIM,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Clocks,0BCPKOYdS2jbQ8iyB56Zns,"permanent wave, pop"
Like a Stone,3YuaBvuZqcwN3CEAyyoaei,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup"
She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,pop
Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,"motown, soul"
"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,"classic oklahoma country, contemporary country, country, country road"
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,"alternative metal, nu metal, post-grunge, rock"
Sunday Morning,5qII2n90lVdPDcgXEEVHNy,pop
Are You That Somebody,3PqAnW2bB5TQnMoBivyFOb,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary"
A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,"lilith, neo mellow, piano rock, pop rock, post-teen pop"
Obsesion,65H6t1WQBim6q93yM8fEwn,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino"
When I'm Gone,4ObFZEXHQJcc8WQtqbCupZ,modern country pop
No One Knows,6NvRxjfYkkT2SpirAlmsjH,"alternative metal, alternative rock, grunge, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock"
Drift Away,0RFgvrhkf9FiDRLA0BhzpZ,"country, pop rock, post-grunge"
Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,"dance pop, pop"
Don't Know Why,1zNXF2svmdlNxfS5XeNUgr,"contemporary vocal jazz, jazz pop, vocal jazz"
