Song Name,Song ID,Genres,Year
Passenger,7IoK6jZBxY7NMoQPoPXZCF,"alternative metal, nu metal, rap metal, rock, sacramento indie",2000
Points of Authority,5egqKwgK5r5rvGD1LrtR7J,"alternative metal, nu metal, post-grunge, rap metal, rock",2000
By Your Side,5gUiTylvifZnUrynE4FFPu,florida rap,2000
E.I.,4bUfMNNmiCmPXVyWzIfKeZ,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",2000
Put Your Head On My Shoulder,2DpJ9T2RVRanZcYFHKOAfA,"adult standards, canadian pop, easy listening, rock-and-roll",2000
How to Disappear Completely,2rtGaCAeYtmcIvuZsvgTf6,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2000
Just Friends (Sunny),5jgEJXjECdlhzNgfITSTVm,"contemporary r&b, neo soul, r&b, urban contemporary",2000
Dig,4cg1yakyRSIOjxKM2I7J1q,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",2000
Renegades Of Funk,5YBVDvTSSSiqv7KZDeUlXA,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",2000
Dance Tonight,1TwVcKR6JojvPwBGbWZT36,"contemporary r&b, neo soul, new jack swing",2000
Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,"cancion melodica, latin pop, mariachi, musica mexicana, ranchera",2000
Para No Verte Más,19CmuECYssqkPWANF4nLWM,"latin alternative, latin rock, rock en espanol, ska argentino",2000
If You're Gone,2f5N826udWfjT9iomeaBJt,"neo mellow, pop rock, post-grunge",2000
Hate To Say I Told You So,6xxXrNJnnsQNLdgNk8S4y8,"alternative rock, garage rock, garage rock revival, modern rock, rock, swedish garage rock, swedish hard rock, swedish indie rock",2000
Don't Panic,2QhURnm7mQDxBb5jWkbDug,"permanent wave, pop",2000
B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",2000
I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",2000
Superman (It's Not Easy),3TwtrR1yNLY1PMPsrGQpOp,"neo mellow, piano rock, pop rock",2000
Only Time,6FLwmdmW77N1Pxb1aWsZmO,"celtic, middle earth, operatic pop",2000
Suavemente Amor,7bCNS79pv7K9iYtqAo0uIW,"cumbia sonidera, grupera, musica mexicana, tropical",2000
Everything In Its Right Place,2kRFrWaLWiKq48YYVdGcm8,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2000
I Am A Man Of Constant Sorrow - Radio Edit,0YwNdeDFbGP6AGwsQrtzdY,outlaw country,2000
Lucky,0IktbUcnAGrvD03AWnz3Q8,"acoustic pop, dance pop, neo mellow, pop",2000
Me Gustas,6b37xrsNCWYIUphFBazqD6,"latin alternative, world",2000
Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),2EduiM2UNwjCC7PsLxnOCH,"crunk, dirty south rap, gangster rap, memphis hip hop, southern hip hop, tennessee hip hop, trap",2000
He Wasn't Man Enough,7f1Dmr246cJ9uQYdbplTbh,"contemporary r&b, dance pop, r&b, urban contemporary",2000
Runaway,3DK6m7It6Pw857FcQftMds,"chicago rap, hip hop, rap",2000
Shape of My Heart,35o9a4iAfLl5jRmqMX9c1D,"boy band, dance pop, pop",2000
Papa Was A Rollin' Stone - Single Version,7MiLmLbwNoyf47xQ4TCVYp,"memphis soul, motown, soul",2000
Who Let The Dogs Out,1H5tvpoApNDxvxDexoaAUo,bahamian pop,2000
Trouble,7cRggVoZ18mmvIN2EcSQ3J,modern country pop,2000
Knife Prty,42Kv1RoTAm09FeytxiuZIB,"alternative metal, nu metal, rap metal, rock, sacramento indie",2000
Loser,5PntSbMHC1ud6Vvl8x56qd,"alternative rock, anti-folk, permanent wave, rock",2000
Bring It On Home to Me,5EoYc5wvRYOtkudLfrjsL1,"classic soul, soul, vocal jazz",2000
Hot Dog,6Zj3YsYfj8YTY9aGMDnpn8,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",2000
Cumbia De La Cobra,68uupqD2ijA27hJxtvnsLH,gruperas inmortales,2000
Slob On My Nob (feat. Project Pat),0mXMr1OVZZKYmOinBaofOp,"crunk, dirty south rap, memphis hip hop",2000
Around the World (La La La La La) - Radio Version,7CvOnbFdnIoXMQ4eFCo5lB,europop,2000
(What A) Wonderful World,29U7stRjqHU6rMiS8BfaI9,"adult standards, dixieland, harlem renaissance, jazz trumpet, new orleans jazz, swing, vocal jazz",2000
Modern Day Bonnie and Clyde,58rdbCe3SBJuJeWEJa8Htm,"contemporary country, country, country road, outlaw country",2000
D>E>A>T>H>M>E>T>A>L,4sIFi8LpJWPvI5xviWFyA6,diy emo,2000
Un Idiota,5susfx6SX1tebTCLSxe74K,"banda, grupera, musica mexicana, norteno, ranchera",2000
In the End,60a0Rd6pjrkxjPbaKzXjfq,"alternative metal, nu metal, post-grunge, rap metal, rock",2000
99 Red Balloons,0rOTMSSa6yscfOrGnzfheM,"pop punk, punk, ska, skate punk, socal pop punk",2000
Tu Cariñito,5uRd1tmUAvfFGSPR5266Xp,"salsa, salsa puertorriquena",2000
Right Now,5Ravsw8TmHN5wBiYPPYUFw,dance pop,2000
La Vaca,7neWp4incUBLP1XQTNWmP0,"merengue, tropical",2000
My Generation,6holGuk1jKHTdWyWBOZi8l,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",2000
Stronger,0j2T0R9dR9qdJYsB7ciXhf,"chicago rap, hip hop, rap",2000
Under The Influence,5IgjP7X4th6nMNDh4akUHb,"pop rap, r&b, rap",2000
Tell It Like It Is,66BjgQodHebiX5QGpBAjyQ,,2000
Rx Queen,6HgrJfzfj9WRBABdussy8z,"alternative metal, nu metal, rap metal, rock, sacramento indie",2000
Breathless,4vwpjrRemuLveDgtNqy5LP,,2000
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",2MSgFefjK0T7Iwjvr3OKqV,"classical, early romantic era, polish classical",2000
Sea of Love,33kKcOJoyNduHwXhEnga8X,"art pop, indie rock, melancholia, singer-songwriter, slowcore",2000
Song 2,1FTSo4v6BOZH9QxKc3MbVM,"alternative rock, britpop, madchester, permanent wave, rock",2000
With You,34SQ0QfLSR316d8KL2zkuZ,"classic texas country, contemporary country",2000
La Playa,2DNyZP4Py6f4zMASLBnIu6,"latin arena pop, latin pop, mexican pop, spanish pop, spanish pop rock",2000
La Bomba,0Tl84qfow6Dv0PM60zoBhb,latin pop,2000
You Can Do It,4NTn0Yo8hTGW5tbBANBzfh,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap",2000
One Thing Leads To Another,2d1NMaw8arIU2Fy4BnWqLs,"album rock, new romantic, new wave, new wave pop",2000
3 Libras,5kHkaBN8OEQlmXfQkACxSt,"alternative metal, alternative rock, nu metal, rock, supergroup",2000
Sandstorm,6Sy9BUbgFse0n0LPA5lwy5,"eurodance, finnish edm",2000
How I Could Just Kill a Man,4K1DB7EedHPuVnhVrnvf2U,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",2000
Morir De Amor,3opWtXcWfM3YFzrm0ffSII,"banda, musica chihuahuense, musica mexicana, norteno",2000
Love,26QLJMK8G0M06sk7h7Fkse,pop,2000
Brackish,6lqwRfIHYRiJ7M9xfLqcRx,"alternative metal, canadian metal, industrial metal, nu metal",2000
Felicidad,3RxqFMGljx897MC9yApidW,"musica mexicana, norteno, sierreno",2000
Just Another Day In Paradise,4LlNoNZflek4hZyZigCxpW,"contemporary country, country, country road",2000
Respeta Mi Dolor,4LciRG6uwOQUOzWqClmZdV,"banda, musica mexicana, norteno",2000
Be Like That,5f1joOtoMeyppIcJGZQvqJ,"black americana, contemporary country, country, country road",2000
I Just Wanna Love U (Give It 2 Me),0s46SltT4On0Z6kglK1I5c,"east coast hip hop, gangster rap, hip hop, pop rap, rap",2000
By Myself,6UzeOH4bRPzKTo2wCXMZmC,"alternative metal, nu metal, post-grunge, rap metal, rock",2000
(Rock) Superstar (feat. Chino Moreno & Everlast),5hYr8yRbQLFE20oS7Mi3T2,"chicano rap, gangster rap, hip hop, rap rock, west coast rap",2000
A Puro Dolor - Balada,28upjDakWVnHAgW2anm273,"puerto rican pop, tropical",2000
The Fight Song,6pfdW2NouUI3ZnugM7r0G0,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",2000
Forgotten,277kkbKWZtQUpnK19WcEM6,metalcore,2000
Lobo-hombre en París,3M1H1CWjrSq7nxABHc8EXv,"cantautor, latin alternative, latin rock, mexican rock, rock en espanol, spanish new wave, spanish pop",2000
Shame,2ogKhhoMClkFXek7ZgxAhN,"dance pop, pop",2000
Que Vuelva,6Um358vY92UBv5DloTRX9L,"corrido, musica mexicana, sad sierreno, sierreno",2000
My First Love,1y2wM4Qxn27EOsQnhHYA3Q,"contemporary r&b, r&b, urban contemporary",2000
Lebanese Blonde,6k5VMHrwv7mgPpkQSRQtQr,"downtempo, electronica, livetronica, trip hop",2000
La bikina - En vivo,1jxO9AwMqYynDsuMWKrPvi,"bolero, latin pop",2000
My Axe,4y8G3pyyBvBKd47iyvHBNj,,2000
Faggot,09RhTAi0nuzCs5KS2XWSs5,"dance-punk, pov: indie",2000
Pinch Me,14QUJhbXCWO90NfZ0mXnGG,modern indie pop,2000
A Long Walk,1CeizRCGEYPWooEeVfmyFL,"hip pop, neo soul, quiet storm, r&b, urban contemporary",2000
It Makes Me Ill,0gbysjaH16DW29QpUnowcx,"boy band, dance pop, pop",2000
7 Days,0gPQTLaqHDgdupKEok7J2x,"british soul, talent show",2000
Hold On Loosely,6i9dZZQWNB06HKsQYKTiPF,"album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock",2000
Pushing Me Away,1gAaRSN57UYVRI4eWRyAvP,"alternative metal, nu metal, post-grunge, rap metal, rock",2000
Who I Am,0N9C6owb2juxsvAFESepTe,,2000
Stupify,5IvKtrcNWBkvyW2yXZ2Y40,"alternative metal, nu metal, rap metal, rock",2000
Shiver,50nfwKoDiSYg8zOCREWAm5,"pop, singer-songwriter pop, uk pop",2000
Back to School (Mini Maggit),0Qrb3L8JgreLBW8g4qyan9,"alternative metal, nu metal, rap metal, rock, sacramento indie",2000
Case Of The Ex (Whatcha Gonna Do),1ak0S3NhwWrUgNlQhJ1412,"contemporary r&b, hip pop, r&b, urban contemporary",2000
If I Ever Feel Better,3AA8xNhDC0MpqwkGX3EP5V,"alternative dance, indie rock, modern rock, neo-synthpop, new rave, rock independant francais, shimmer pop",2000
Man Overboard,1PRknVhZ6BsVX61MPrrVsV,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",2000
Dare You To Move,4x3381mYJqptPqT6OKUfmu,"ccm, christian alternative rock, christian music",2000
Wifey - Club Mix/Dirty Version,1NNDZc9BHaWe9JqIsPRlNV,"boy band, contemporary r&b, minneapolis sound, new jack swing, r&b, urban contemporary",2000
Crazy,4RMm3bonEDyYj5aJGkaJqX,florida rap,2000
A Day Without Rain,0y6DSMwFO6cLKN1XB85cGV,"celtic, middle earth, operatic pop",2000
Promise,08PdFBcXzpkn1cWNgmKqhn,gen z singer-songwriter,2000
