Song Name,Song ID,Genres,Main Genres
Act A Fool,28mv40MzspRZn0PBcO2itT,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","['Hip hop Music', 'Pop Music']"
Te Suelto el Pelo,0Gh6QG4Z1pSvIo7btP1Ux4,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']","['Hip hop Music', 'Reggae Music']"
十年,25pWemriUQVrZ3yIiS2IBf,"['c-pop', 'cantopop', 'mandopop']",['Pop Music']
You Are My Sunshine,4cNpO3kF8rqcH8G3huFCJp,['pop'],['Pop Music']
Notas de Sociedad,1SZCsIFSRXG2m6J6GFqv4g,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']",[]
Blue,39sDitIeCMrVX2QyXHY46t,['pov: indie'],[]
24's,33j4CLU9UyRjO63ry5J61Q,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","['Hip hop Music', 'Pop Music']"
El Aguacatero Michoacano,2l4ymyCvSNxvxL2BI9iU0Y,"['banda', 'musica mexicana', 'norteno']",[]
Down A** B**ch,2eTJ14pjbaVBmXKohkTihY,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']","['Hip hop Music', 'Pop Music']"
I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']","['Hip hop Music', 'Pop Music']"
Rain On Me,7ju97lgwC2rKQ6wwsf9no9,"['art pop', 'dance pop', 'pop']",['Pop Music']
Llorar,2f9XA7pBMjrHPO2cJW5XCu,"['cumbia del sureste', 'cumbia sonidera', 'musica campechana', 'ranchera', 'tropical']",[]
Can I Watch? (feat. Apani B as Nikki),4i4P1ACAeWcyJTxQSd0prx,"['abstract hip hop', 'alternative hip hop']",['Hip hop Music']
Sail To The Moon,7tFsUfrmyBvLdvIByreecz,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",['Rock Music']
Millionaire,68JS5SFTnW5Yv9Vzw81Jf0,"['contemporary country', 'outlaw country']",['Country Music']
Back Down,7EP9G7AIKrywWGdYsYZzGv,"['k-pop', 'k-pop boy group']",['Pop Music']
Fruits Of My Labor,31nItlXwgCCFpttS50Rbxf,"['alternative country', 'folk', 'heartland rock', 'outlaw country', 'roots rock', 'singer-songwriter']","['Folk Music', 'Country Music', 'Rock Music']"
Home,4iz9lGMjU1lXS51oPmUmTe,"['chicago rap', 'hip hop', 'rap']",['Hip hop Music']
Imaginary,7q6CybWAg3uYLgS5tDWqmd,['alternative metal'],[]
Tell That Mick He Just Made My List of Things to Do Today,6mCjOSXkABONouTVa6PQOy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']","['Pop Music', 'Rock Music']"
Son's Gonna Rise (feat. Robert Randolph) - New Radio Mix,52tjHPPO2jw6YOrL4pZepe,['alternative rock'],['Rock Music']
My Favorite Accident,5OU9pkK0wkHJMCOBVYafye,"['emo', 'neon pop punk', 'pop punk']",['Pop Music']
"Okay I Believe You, But My Tommy Gun Don't",2WX6hfQa4BqbPTS0o4aSDV,"['emo', 'pop punk', 'post-hardcore', 'screamo']",['Pop Music']
Are You Happy Now?,5B7XIcS5T76NJZFOHX30Io,"['candy pop', 'lilith', 'neo mellow', 'pop rock']","['Pop Music', 'Rock Music']"
Superstar,20j7l6tFtc5lynXpbOQg1O,"['alternative pop rock', 'pov: indie']","['Pop Music', 'Rock Music']"
Look What You've Done,7t1lBIr3WIEtqQEOdZFMUf,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Hip hop Music', 'Pop Music']"
Hurt,0RBw4ODUQPO4cuAOZtBGga,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']","['Hip hop Music', 'Pop Music']"
A Wolf At the Door,3OHevW2cUT176DXWV0lHg9,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",['Rock Music']
Sleeping In - Remastered,0bWtmYrWat7IWlpx3rmuwc,"['chamber pop', 'indie rock', 'indietronica', 'seattle indie']","['Pop Music', 'Rock Music']"
Sherry,7sqK6f8dHVx3Q1GjFrVyGl,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']","['Pop Music', 'Rock Music']"
Hello,62PaSfnXSMyLshYJrlTuL3,"['british soul', 'pop', 'pop soul', 'uk pop']",['Pop Music']
Stronger Than Me,5FNDpQSkgFiRdUKGfagIRJ,"['british soul', 'neo soul']",[]
Songs About Rain,0PD211kSLtAZ76OSHtMOnJ,"['contemporary country', 'country', 'country road']",['Country Music']
Amor De Tres,2EAXWHqQhNxgJbg1ZnOXZ3,[],[]
From the Inside,60IkVf7UfQXmt5CwkpcX8a,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",['Rock Music']
Al Natural,3tCdDVn9yseorLuljdFugA,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']","['Hip hop Music', 'Reggae Music']"
Finding Nemo,4MrXuZ2T6CMD0V5VURGBwx,"['orchestral soundtrack', 'soundtrack']",[]
High All The Time,7nFlzPTW9WGNJ2y9t3Tfvw,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
Le Compré la Muerte a Mi Hijo,6AtUmPuWWUl0hfs6V8dsa6,"['corrido', 'musica mexicana', 'norteno']",[]
Wat Da Hook Gon Be,6njG8EYG1lrROn8P6q46eq,"['dirty south rap', 'st louis rap']",[]
I Won't See You Tonight Part 1,67w1cb9ESAnCGJkC9hW2nO,"['alternative metal', 'nu metal']",[]
Passenger Seat,2cNbz8Xabwbk8W5hC9oY6b,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'washington indie']","['Pop Music', 'Rock Music']"
In Da Club,4RY96Asd9IefaL3X4LOLZ8,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
Touch of Grey,0mJQlCl9YgxW7kyeltNiVk,"['cosmic american', 'jam band', 'psychedelic rock']",['Rock Music']
Encore,1GzNGrxi4NIOKu0Z4npUss,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']","['Hip hop Music', 'Pop Music']"
Feelin' Way Too Damn Good,4i2WUspbfNZCnhkypoFKrM,"['alternative metal', 'canadian rock', 'post-grunge']",['Rock Music']
The Way You Look Tonight,0elmUoU7eMPwZX1Mw1MnQo,"['adult standards', 'easy listening', 'lounge']",[]
Hey Girl,4CcrLWFQY4dRGMbUR59cSp,"['contemporary country', 'country', 'country road']",['Country Music']
Falls On Me,7CIzpZaeeNCtJDi1nqEDXb,"['alternative metal', 'nu metal', 'post-grunge']",[]
Dancing with Myself - 2001 Remaster,3rQfYDjgpRy5LFlClpPQW9,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']","['Pop Music', 'Rock Music']"
Ruin,4nyY8oVjbX2d4qzlpiVM5n,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",['Pop Music']
Get It On The Floor,094MWdspdy9amhOi8TFlIN,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",['Hip hop Music']
U Should've Known Better,0EQuu6hyNACWI7LT7N5pRv,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",['Pop Music']
Forest Whitiker,42uXDKUhyAt5Exe1G5pKWJ,"['abstract hip hop', 'conscious hip hop', 'minnesota hip hop', 'political hip hop']",['Hip hop Music']
Have You Forgotten?,5JWuz7zukN8z9JLNm29U5K,"['country', 'country road']",['Country Music']
Motownphilly,4LxIGAVfcQIw0zAQRyFhU8,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",[]
