Song Name,Song ID,Genres
Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,"chicago rap, hip hop, rap"
505,58ge6dfP91o9oXMzq3XkIS,"garage rock, modern rock, permanent wave, rock, sheffield indie"
I Wonder,7rbECVPkY5UODxoOUVKZnA,"chicago rap, hip hop, rap"
Misery Business,6SpLc7EXZIPpy0sVko0aoU,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Homecoming,4iz9lGMjU1lXS51oPmUmTe,"chicago rap, hip hop, rap"
Stronger,0j2T0R9dR9qdJYsB7ciXhf,"chicago rap, hip hop, rap"
Can't Tell Me Nothing,0mEdbdeRFQwBhN4xfyIeUM,"chicago rap, hip hop, rap"
The Way I Are,2bLqfJjuC5syrsgDsZfGmn,"dance pop, pop, pop rap"
Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,"emo, modern rock, pop, pop punk, rock"
Paralyzer,28IEbk5a7twNTbUEvWslUb,"alternative metal, canadian rock, funk metal, nu metal, post-grunge"
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1tkMs9wDPknQ3ZHcKDw1ES,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
Fake It,4eAwB5pnKFTmsgc3zWoYO0,"alternative metal, nu metal, post-grunge, south african rock"
Umbrella,2yPoXCs7BSIUrucMdK5PzV,"barbadian pop, pop, urban contemporary"
Electric Feel,3FtYbEfBqAlGO46NUDQSAt,"alternative rock, indie rock, indietronica, modern rock, rock"
"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,"modern rock, neon pop punk, pop punk"
Good Life,4ZPdLEztrlZqbJkgHNw54L,"chicago rap, hip hop, rap"
Paper Planes,1ixbwbeBi5ufN4noUKmW5a,"escape room, indietronica, neo-synthpop, new rave"
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,"dance pop, miami hip hop, pop"
Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,"garage rock, modern rock, permanent wave, rock, sheffield indie"
Bleed It Out,0UFDKFqW2oGspYeYqo9wjA,"alternative metal, nu metal, post-grunge, rap metal, rock"
What I've Done,18lR4BzEs7e3qzc0KVkTpU,"alternative metal, nu metal, post-grunge, rap metal, rock"
You,5W4kiM2cUYBJXKRudNyxjW,contemporary country
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
The Pretender,7x8dCjCr0x6x2lXKujYD34,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
Gimme More,6ic8OlLUNEATToEFU3xmaH,"dance pop, pop"
Bartender (feat. Akon),1RGIjMFMgJxkZHMDXVYzOJ,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
Kids,1jJci4qxiYcOHhQR247rEU,"alternative rock, indie rock, indietronica, modern rock, rock"
Don't Stop The Music,1Jo0Zg7XlrA6z0mFTZVdkn,"barbadian pop, pop, urban contemporary"
Everything I Am,0NrtwAmRAdLxua31SzHvXr,"chicago rap, hip hop, rap"
All Summer Long,5rX6C5QVvvZB7XckETNych,nu metal
Apologize,1NrJYpdAi7uosDRPmSYrsG,"piano rock, pop"
Champion,4UQMOPSUVJVicIQzjAcRRZ,"chicago rap, hip hop, rap"
Valerie (feat. Amy Winehouse) - Version Revisited,6kopmMZiyLmw7h66uXcXR7,pop soul
That's What You Get,1JdKrFyoU05abww0Zv0ayQ,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Good Morning,6MXXY2eiWkpDCezVCc0cMH,"chicago rap, hip hop, rap"
