Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2009,Party In The U.S.A.,Miley Cyrus,85,79,202066,False,2009-01-01,0.00112,0.652,0.698,0.000115,10,0.0886,-4.667,0,0.042,96.021,0.47
2009,Dog Days Are Over,Florence + The Machine,75,78,251840,False,2009,0.0416,0.492,0.81,0.00379,7,0.117,-5.315,1,0.0847,149.954,0.245
2009,Best I Ever Had,Drake,95,79,257690,True,2009,0.19,0.395,0.922,0,1,0.134,-2.176,1,0.375,162.361,0.558
2009,Ain't No Rest for the Wicked,Cage The Elephant,72,76,175493,False,2009-03-24,0.0438,0.636,0.849,0,0,0.372,-7.075,1,0.106,156.036,0.917
2009,Rosyln,"Bon Iver, St. Vincent",76,78,289560,False,2009-10-09,0.971,0.329,0.277,0.024,10,0.0971,-13.111,0,0.0302,159.719,0.121
2009,I Gotta Feeling,Black Eyed Peas,79,76,289133,False,2009-01-01,0.0873,0.744,0.766,0,0,0.509,-6.375,1,0.0265,127.966,0.61
2009,Day 'N' Nite (nightmare),Kid Cudi,79,74,221240,False,2009-01-01,0.48,0.881,0.441,9.08e-06,11,0.119,-6.278,0,0.0646,138.014,0.804
2009,All I Wanted,Paramore,77,75,225786,False,2009-09-28,0.0192,0.494,0.723,0.0322,6,0.134,-4.559,0,0.0441,144.036,0.152
2009,Empire State Of Mind,"JAY-Z, Alicia Keys",82,83,276920,True,2009-09-08,0.0295,0.491,0.956,0,11,0.46,-1.538,1,0.392,173.585,0.811
2009,Run This Town,"JAY-Z, Rihanna, Kanye West",82,80,267520,True,2009-09-08,0.281,0.632,0.924,0,1,0.263,-1.802,1,0.29,86.844,0.441
2009,Bad Romance,Lady Gaga,83,83,294573,True,2009-11-05,0.00314,0.696,0.921,5.24e-05,0,0.0842,-3.755,1,0.0363,119.001,0.714
2009,Down,"Jay Sean, Lil Wayne",64,79,212506,False,2009-01-01,0.0101,0.727,0.68,0,2,0.0821,-4.498,1,0.0286,132.012,0.728
2009,Monster,Skillet,72,79,178013,False,2009-08-21,0.0431,0.64,0.957,0,8,0.0789,-2.336,1,0.0741,134.992,0.692
2009,She's Country,Jason Aldean,73,73,220573,False,2009-04-07,0.198,0.553,0.872,0,1,0.0659,-2.832,0,0.0782,172.138,0.638
2009,Fireflies,Owl City,67,79,228346,False,2009-01-01,0.0275,0.512,0.662,0,3,0.118,-6.797,1,0.0439,180.114,0.472
