Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2003,Seven Nation Army,The White Stripes,70,85,232106,False,2003-04-01,0.0039,0.743,0.446,0.118,4,0.337,-7.807,0,0.0683,123.596,0.278
2003,Hey Ya!,Outkast,73,83,235213,False,2003,0.103,0.727,0.974,0.000532,4,0.174,-2.261,0,0.0664,79.526,0.965
2003,Numb,Linkin Park,84,86,185586,False,2003-03-24,0.0046,0.496,0.863,0,9,0.639,-4.153,1,0.0381,110.018,0.243
2003,In Da Club,50 Cent,82,76,193466,True,2003-02-06,0.26,0.902,0.72,0,6,0.0749,-2.776,0,0.347,90.059,0.805
2003,Bring Me To Life,Evanescence,71,84,235893,False,2003-03-04,0.00721,0.331,0.943,2.06e-06,4,0.242,-3.188,0,0.0698,94.612,0.296
2003,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",85,80,236133,False,2003-06-24,0.00249,0.646,0.77,0,2,0.0715,-6.596,0,0.226,99.165,0.681
2003,Toxic,Britney Spears,79,83,198800,False,2003-11-13,0.0249,0.774,0.838,0.025,5,0.242,-3.914,0,0.114,143.04,0.924
2003,Dile,Don Omar,81,83,204600,False,2003-01-01,0.184,0.817,0.714,0.000132,4,0.042,-7.501,0,0.141,94.001,0.714
2003,21 Questions,"50 Cent, Nate Dogg",82,75,224426,True,2003-02-06,0.353,0.576,0.807,0.000363,6,0.0512,-3.908,0,0.317,90.012,0.908
2003,Ocean Avenue,Yellowcard,62,75,198266,False,2003-01-01,3.43e-05,0.486,0.904,2.83e-05,6,0.0947,-3.751,0,0.0638,173.734,0.786
2003,I Miss You,blink-182,78,72,227240,False,2003-01-01,0.00103,0.664,0.781,5.33e-06,11,0.0867,-6.547,1,0.0339,110.0,0.593
2003,Many Men (Wish Death),50 Cent,82,73,256226,True,2003-02-06,0.0153,0.653,0.826,0.00146,6,0.131,-2.93,0,0.354,108.52,0.416
2003,If I Ain't Got You,Alicia Keys,76,81,228706,False,2003-12-02,0.603,0.609,0.444,6.86e-06,7,0.104,-9.129,1,0.106,118.402,0.166
2003,I Hate Everything About You,Three Days Grace,73,76,231480,False,2003-04-19,0.00461,0.498,0.83,0,6,0.139,-5.157,0,0.0421,89.342,0.453
2003,The Reason,Hoobastank,65,82,232800,False,2003-12-09,0.0129,0.472,0.671,0,4,0.159,-4.649,1,0.029,82.952,0.0681
2003,Faint,Linkin Park,84,81,162600,False,2003-03-24,0.111,0.554,0.978,0,4,0.0731,-3.554,1,0.131,135.095,0.594
2003,Stacy's Mom,Fountains Of Wayne,57,75,197986,False,2003-01-01,0.00207,0.774,0.75,1.78e-05,11,0.0808,-4.927,0,0.0412,118.015,0.927
2003,Pa' Que Retozen,Tego Calderón,70,82,151666,True,2003-07-01,0.4,0.815,0.856,8.34e-05,1,0.244,-3.825,0,0.122,91.995,0.872
2003,Suga Suga,"Baby Bash, Frankie J",60,74,239026,False,2003-01-01,0.688,0.662,0.748,8.43e-06,5,0.0841,-3.041,0,0.268,82.331,0.535
2003,What Was I Thinkin',Dierks Bentley,67,71,260826,False,2003-01-01,0.152,0.551,0.825,6.2e-06,5,0.0999,-6.24,0,0.044,164.857,0.933
2003,Reptilia,The Strokes,75,77,219826,False,2003-10-28,0.000603,0.489,0.649,0.713,9,0.101,-5.11,1,0.0336,158.009,0.77
2003,Closing Time,Semisonic,56,74,274160,False,2003-01-01,0.0204,0.478,0.854,1.21e-06,7,0.115,-5.454,1,0.0289,91.854,0.274
