Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2005,Gold Digger,"Kanye West, Jamie Foxx",90,81,207626,True,2005-08-30,0.0195,0.629,0.696,0,1,0.0554,-5.572,0,0.348,93.034,0.623
2005,Before He Cheats,Carrie Underwood,70,80,199946,False,2005-11-14,0.271,0.519,0.749,0,6,0.119,-3.318,0,0.0405,147.905,0.29
2005,Feel Good Inc.,Gorillaz,78,84,222640,False,2005-05-23,0.00836,0.818,0.705,0.00233,6,0.613,-6.679,1,0.177,138.559,0.772
2005,Love,Keyshia Cole,68,83,255333,False,2005-01-01,0.064,0.688,0.519,0,5,0.1,-4.285,1,0.0283,116.714,0.318
2005,"Sugar, We're Goin Down",Fall Out Boy,78,79,229093,False,2005-05-03,0.00579,0.494,0.842,0,7,0.122,-4.784,1,0.0843,162.011,0.574
2005,Hips Don't Lie,"Shakira, Wyclef Jean",86,86,218093,False,2005-11-28,0.284,0.778,0.824,0,10,0.405,-5.892,0,0.0707,100.024,0.758
2005,Lose Yourself,Eminem,89,78,326466,True,2005-12-06,0.00868,0.692,0.744,0.000423,2,0.359,-4.565,1,0.257,171.374,0.0612
2005,I Write Sins Not Tragedies,Panic! At The Disco,76,74,186634,False,2005-09-27,0.0807,0.569,0.83,0,9,0.114,-4.106,0,0.14,170.094,0.609
2005,"Dance, Dance",Fall Out Boy,78,78,180266,False,2005-05-03,0.00523,0.622,0.961,0,11,0.0854,-3.198,0,0.154,114.452,0.449
2005,Good Directions,Billy Currington,65,74,215853,False,2005-01-01,0.307,0.716,0.72,0,5,0.135,-2.183,1,0.0319,122.512,0.464
2005,Coming Undone,Korn,74,77,199773,False,2005-12-06,0.000643,0.687,0.677,0.000137,2,0.0564,-4.172,1,0.0508,75.052,0.545
2005,Temperature,Sean Paul,79,82,218573,False,2005-09-26,0.106,0.951,0.6,0,0,0.0712,-4.675,0,0.0685,125.04,0.822
2005,The Kill,Thirty Seconds To Mars,70,78,231533,False,2005-01-01,0.0014,0.179,0.912,0.000294,4,0.582,-3.881,0,0.0791,182.99,0.289
2005,Hate It Or Love It,"The Game, 50 Cent",71,83,206400,True,2005,0.14,0.802,0.785,0,9,0.123,-4.781,1,0.207,99.998,0.435
2005,Hey There Delilah,Plain White T's,62,79,232533,False,2005-01-01,0.872,0.656,0.291,0,2,0.114,-10.572,1,0.0293,103.971,0.298
2005,How to Save a Life,The Fray,68,81,262533,False,2005-09-13,0.269,0.64,0.743,0,10,0.101,-4.08,1,0.0379,122.035,0.361
2005,Pon de Replay,Rihanna,88,80,246960,False,2005-08-29,0.000155,0.779,0.64,0.00077,7,0.101,-8.415,1,0.159,99.019,0.498
2005,Dirty Little Secret,The All-American Rejects,65,72,193653,False,2005-01-01,0.000346,0.465,0.954,5.38e-06,10,0.573,-4.251,1,0.044,143.85,0.458
2005,We Belong Together,Mariah Carey,77,72,201400,False,2005-04-12,0.0339,0.837,0.462,0,0,0.09,-7.89,1,0.0601,139.986,0.762
2005,Better Together,Jack Johnson,74,72,207680,False,2005-01-01,0.308,0.868,0.347,2e-05,5,0.11,-9.529,1,0.0536,110.059,0.659
2005,Candy Shop,"50 Cent, Olivia",82,81,209106,True,2005-03-03,0.0253,0.614,0.574,3.2e-05,11,0.38,-7.961,1,0.466,125.173,0.755
2005,Animals,Nickelback,75,70,186600,False,2005-09-26,0.000734,0.572,0.961,0.021,7,0.207,-3.089,1,0.0625,76.998,0.818
2005,Hidden In the Sand,Tally Hall,65,76,112960,False,2005-10-24,0.514,0.547,0.287,0.774,6,0.119,-12.28,1,0.149,120.792,0.177
2005,Banana Pancakes,Jack Johnson,74,71,191906,False,2005-01-01,0.607,0.816,0.375,8.66e-06,7,0.0933,-8.053,1,0.0996,114.303,0.615
2005,Lonely Day,System Of A Down,78,78,167906,False,2005-11-22,0.362,0.47,0.796,1.1e-06,8,0.133,-3.277,0,0.0336,113.108,0.215
2005,Rockstar,Nickelback,75,70,252040,False,2005-09-26,0.0459,0.616,0.91,0,0,0.343,-3.004,1,0.0386,144.072,0.693
2005,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,68,77,243773,False,2005-02-22,0.237,0.72,0.744,0,1,0.255,-6.938,0,0.12,78.953,0.619
2005,Beverly Hills,Weezer,72,72,196093,False,2005-05-10,0.0932,0.693,0.823,0,5,0.328,-3.761,1,0.0726,87.904,0.741
2005,Lips Of An Angel,Hinder,59,73,261853,False,2005-01-01,0.0217,0.476,0.736,1.08e-06,2,0.203,-5.38,1,0.0343,129.084,0.251
2005,Touch The Sky,"Kanye West, Lupe Fiasco",90,74,236600,True,2005-08-30,0.0114,0.552,0.846,0,9,0.309,-4.912,1,0.342,98.56,0.554
2005,Remedy,Seether,68,71,207213,False,2005-01-01,0.000193,0.55,0.952,0.000666,8,0.0614,-4.664,1,0.0924,127.804,0.391
2005,B.Y.O.B.,System Of A Down,78,78,255466,True,2005-05-17,0.00662,0.538,0.981,0,1,0.219,-2.688,0,0.14,101.414,0.711
2005,Move Along,The All-American Rejects,65,69,238880,False,2005-01-01,0.000148,0.518,0.916,0,3,0.291,-3.858,1,0.0454,109.864,0.646
2005,Ella Y Yo - Featuring Don Omar,"Aventura, Don Omar",76,80,267786,False,2005-04-26,0.534,0.732,0.708,0,9,0.237,-7.905,0,0.262,175.924,0.717
2005,Fix You,Coldplay,87,84,295533,False,2005-06-07,0.164,0.209,0.417,0.00196,3,0.113,-8.74,1,0.0338,138.178,0.124
2005,As Good As I Once Was,Toby Keith,68,71,227840,False,2005-01-01,0.266,0.68,0.87,0,5,0.109,-4.461,1,0.0393,119.075,0.646
2005,Boondocks,Little Big Town,63,70,272346,False,2005-01-01,0.211,0.41,0.78,0,9,0.48,-5.391,1,0.0332,88.016,0.695
2005,I'm Sprung,T-Pain,75,72,231040,False,2005-12-06,0.0948,0.728,0.327,0,0,0.103,-11.596,0,0.0999,100.0,0.195
2005,Pump It,Black Eyed Peas,79,70,213066,True,2005-01-01,0.0093,0.649,0.931,0,1,0.751,-3.15,0,0.181,153.645,0.744
2005,Run It! (feat. Juelz Santana),"Chris Brown, Juelz Santana",85,75,229866,False,2005,0.0246,0.846,0.482,0,1,0.393,-6.721,0,0.129,100.969,0.212
2005,Yo (Excuse Me Miss),Chris Brown,85,73,229040,False,2005,0.119,0.536,0.612,0,4,0.209,-5.847,1,0.272,86.768,0.57
2005,Just A Lil Bit,50 Cent,82,79,237706,True,2005-03-03,0.0322,0.489,0.692,0.00608,1,0.315,-6.672,1,0.41,96.946,0.527
2005,Tequila Makes Her Clothes Fall Off,Joe Nichols,57,70,187053,False,2005-01-01,0.129,0.664,0.706,1.06e-06,2,0.0857,-7.045,1,0.027,93.968,0.681
