Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2001,The Middle,Jimmy Eat World,67,83,165853,False,2001-07-17,0.0371,0.643,0.849,0,2,0.058,-5.428,1,0.0526,162.152,0.903
2001,Chop Suey!,System Of A Down,78,85,210240,False,2001-09-04,0.000278,0.417,0.934,0.0015,7,0.132,-3.908,0,0.119,127.066,0.287
2001,Island In The Sun,Weezer,72,80,200306,False,2001-05-15,0.00719,0.654,0.81,0.00251,4,0.165,-6.26,0,0.0288,114.623,0.661
2001,Last Resort,Papa Roach,71,82,199906,True,2001-04-25,0.000481,0.589,0.89,0.00082,4,0.201,-3.719,0,0.0603,90.598,0.692
2001,Drops of Jupiter (Tell Me),Train,71,80,259933,False,2001-03-27,0.153,0.481,0.638,0,0,0.154,-5.862,1,0.0276,79.064,0.497
2001,How You Remind Me,Nickelback,75,82,223840,False,2001-09-11,0.00135,0.446,0.764,0,10,0.099,-5.042,1,0.033,172.094,0.543
2001,Toxicity,System Of A Down,78,82,218933,False,2001-09-04,0.000264,0.413,0.873,0.00249,8,0.204,-4.151,1,0.0536,116.68,0.48
2001,Bodies,Drowning Pool,61,77,201960,False,2001-01-01,0.00347,0.656,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,0.544
2001,Aerials,System Of A Down,78,79,235053,False,2001-09-04,0.000915,0.364,0.922,0.0346,0,0.0697,-4.217,0,0.0567,79.342,0.227
2001,Clint Eastwood,Gorillaz,78,71,340920,True,2001,0.0253,0.663,0.694,0,10,0.0698,-8.627,0,0.171,167.953,0.525
2001,Me Gustas Tu,Manu Chao,70,84,239986,False,2001-06-01,0.663,0.657,0.741,0.494,11,0.222,-6.822,0,0.0825,175.949,0.908
2001,In Too Deep,Sum 41,71,76,207093,False,2001-01-01,0.000189,0.568,0.844,0,9,0.0607,-5.875,1,0.0505,116.046,0.766
2001,It's Been Awhile,Staind,65,69,264706,True,2001-05-22,0.00189,0.509,0.774,0.000549,6,0.143,-4.054,1,0.0338,116.529,0.0824
2001,Fat Lip,Sum 41,71,75,178266,True,2001-01-01,0.000579,0.402,0.914,0,9,0.065,-5.215,1,0.142,196.505,0.626
2001,First Date,blink-182,78,76,171533,False,2001,0.000715,0.579,0.928,0,0,0.18,-4.344,1,0.0411,95.594,0.882
2001,Someday,The Strokes,75,69,183440,False,2001-07-30,0.00425,0.539,0.521,0,9,0.367,-7.46,1,0.0299,106.035,0.679
2001,New Slang - 2021 Remaster,The Shins,61,75,230866,False,2001-06-19,0.753,0.67,0.403,0.0903,0,0.0858,-10.623,1,0.031,129.984,0.622
2001,Smooth Criminal,Alien Ant Farm,58,76,209266,False,2001-01-01,0.00316,0.653,0.964,0.00512,9,0.144,-4.261,0,0.0582,126.928,0.87
2001,Last Nite,The Strokes,75,68,193373,False,2001-07-30,0.0221,0.624,0.899,0.000137,0,0.0975,-5.709,1,0.0296,104.061,0.79
2001,She Hates Me,Puddle Of Mudd,62,72,216760,True,2001-08-28,0.00935,0.58,0.748,0,4,0.753,-5.433,1,0.0323,109.781,0.584
2001,Family Affair,Mary J. Blige,69,79,265866,False,2001-08-28,0.132,0.911,0.551,4.12e-05,8,0.0863,-3.75,0,0.0449,92.887,0.969
