Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2010,Sure Thing,Miguel,78,88,195373,False,2010-11-26,0.0267,0.684,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,0.498
2010,The Spins,Mac Miller,82,82,195873,True,2010-08-13,0.0135,0.794,0.766,0,9,0.0785,-3.894,0,0.0377,127.006,0.55
2010,Just the Way You Are,Bruno Mars,88,85,220734,False,2010-10-05,0.0134,0.635,0.841,0,5,0.0622,-5.379,1,0.0422,109.021,0.424
2010,Girl With The Tattoo Enter.lewd,Miguel,78,81,102813,False,2010-11-26,0.856,0.372,0.239,0.000175,6,0.168,-11.314,0,0.0296,113.451,0.127
2010,Duvet,bôa,67,84,203600,False,2010-04-20,0.191,0.583,0.888,4.58e-05,11,0.0936,-9.414,0,0.0349,93.206,0.706
2010,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",64,78,263773,True,2010-10-01,0.00544,0.76,0.595,0,1,0.241,-6.366,1,0.0391,131.497,0.361
2010,Devil In A New Dress,"Kanye West, Rick Ross",90,80,351946,True,2010-11-22,0.0175,0.435,0.76,0,8,0.158,-4.935,0,0.0721,80.082,0.206
2010,Super Bass,Nicki Minaj,86,81,200013,True,2010-11-22,0.271,0.723,0.86,4.56e-06,11,0.598,-4.357,1,0.203,126.979,0.667
2010,Grenade,Bruno Mars,88,79,222091,False,2010-10-05,0.148,0.704,0.558,0,2,0.107,-7.273,0,0.0542,110.444,0.245
2010,"Hey, Soul Sister",Train,71,84,216773,False,2010-12-01,0.185,0.673,0.886,0,1,0.0826,-4.44,0,0.0431,97.012,0.795
2010,Talking to the Moon,Bruno Mars,88,82,217866,False,2010-10-05,0.511,0.498,0.59,0,1,0.107,-4.721,0,0.032,145.867,0.0784
2010,Je te laisserai des mots,Patrick Watson,69,85,160853,False,2010-09-10,0.989,0.303,0.187,0.489,2,0.101,-16.757,1,0.0356,132.731,0.213
2010,Knee Deep (feat. Jimmy Buffett),"Zac Brown Band, Jimmy Buffett",72,76,203173,False,2010-09-20,0.432,0.715,0.584,1.41e-06,8,0.095,-8.231,1,0.0296,90.99,0.609
2010,Runaway,"Kanye West, Pusha T",90,80,547733,True,2010-11-22,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,0.111
2010,Last Friday Night (T.G.I.F.),Katy Perry,82,76,230733,False,2010-01-01,0.00125,0.652,0.812,3.01e-05,3,0.667,-3.797,0,0.0409,126.023,0.72
2010,TiK ToK,Kesha,75,83,199693,False,2010-01-01,0.0991,0.755,0.837,0,2,0.289,-2.718,0,0.142,120.028,0.714
2010,I Can't Handle Change,Roar,66,80,198213,False,2010-03-14,0.0447,0.247,0.438,0.000867,5,0.111,-8.478,1,0.0358,185.711,0.39
2010,Only Girl (In The World),Rihanna,88,83,235493,False,2010-01-01,0.112,0.789,0.706,1.71e-05,11,0.0586,-4.233,0,0.0429,125.911,0.638
