Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2002,Without Me,Eminem,89,88,290320,True,2002-05-26,0.00286,0.908,0.669,0,7,0.237,-2.827,1,0.0738,112.238,0.662
2002,Till I Collapse,"Eminem, Nate Dogg",89,85,297786,True,2002-05-26,0.0622,0.548,0.847,0,1,0.0816,-3.237,1,0.186,171.447,0.1
2002,Rock Your Body,Justin Timberlake,79,81,267266,False,2002-11-04,0.201,0.892,0.714,0.000234,4,0.0521,-6.055,0,0.141,100.972,0.817
2002,Can't Stop,Red Hot Chili Peppers,81,83,269000,False,2002-07-09,0.0179,0.618,0.938,0,9,0.167,-3.442,1,0.0456,91.455,0.875
2002,Superman,"Eminem, Dina Rae",89,86,350320,True,2002-05-26,0.0215,0.802,0.755,0,4,0.295,-3.138,0,0.0564,130.027,0.58
2002,Hot In Herre,Nelly,73,78,228240,True,2002-06-25,0.206,0.956,0.745,0,11,0.0615,-4.753,0,0.12,107.075,0.912
2002,Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",62,76,334066,True,2002-10-29,0.0301,0.521,0.625,0,1,0.121,-7.47,1,0.067,101.019,0.136
2002,The Scientist,Coldplay,87,85,309600,False,2002-08-08,0.731,0.557,0.442,1.46e-05,5,0.11,-7.224,1,0.0243,146.277,0.213
2002,This Love,Maroon 5,84,82,206200,False,2002,0.0525,0.712,0.862,0,5,0.093,-4.612,0,0.0378,95.051,0.809
2002,Headstrong,Trapt,56,74,285569,True,2002-11-05,0.000172,0.492,0.896,2.78e-06,4,0.189,-5.819,0,0.117,184.981,0.534
2002,Foolish,Ashanti,70,75,227386,True,2002-01-01,0.347,0.665,0.695,0,0,0.106,-5.763,1,0.0532,90.119,0.707
2002,The Red,Chevelle,63,72,238400,False,2002,0.000671,0.509,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,0.332
2002,Complicated,Avril Lavigne,74,80,244506,False,2002-06-04,0.0572,0.585,0.776,7.74e-06,5,0.3,-5.898,1,0.0459,77.987,0.427
2002,The Anthem,Good Charlotte,64,75,175093,False,2002-10-04,0.00666,0.494,0.939,0,1,0.139,-3.127,1,0.126,177.751,0.893
2002,Sk8er Boi,Avril Lavigne,74,77,204000,False,2002-06-04,6.79e-05,0.487,0.9,0,0,0.358,-4.417,1,0.0482,149.937,0.484
2002,Dilemma,"Nelly, Kelly Rowland",73,79,289160,True,2002-06-25,0.227,0.727,0.552,0.000164,2,0.198,-8.074,0,0.14,168.189,0.607
2002,Clocks,Coldplay,87,83,307879,False,2002-08-08,0.599,0.577,0.749,0.0115,5,0.183,-7.215,0,0.0279,130.97,0.255
2002,Like a Stone,Audioslave,67,79,293960,False,2002-11-17,0.00797,0.614,0.568,0,7,0.0997,-5.477,0,0.0276,107.849,0.516
2002,She Will Be Loved - Radio Mix,Maroon 5,84,81,259453,False,2002,0.228,0.651,0.663,0,0,0.0994,-5.569,0,0.0281,102.0,0.465
2002,Superstition - Single Version,Stevie Wonder,74,76,245493,False,2002-10-29,0.038,0.633,0.634,0.0064,8,0.0385,-12.115,1,0.0725,100.499,0.872
2002,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,68,70,195533,False,2002-01-01,0.521,0.424,0.661,1.62e-06,2,0.0719,-5.547,1,0.0425,111.762,0.384
2002,Here Without You,3 Doors Down,69,77,238733,False,2002-11-12,0.0492,0.557,0.533,0,10,0.205,-6.817,0,0.0252,143.994,0.233
2002,Sunday Morning,Maroon 5,84,76,244880,False,2002,0.0913,0.608,0.768,0,0,0.0629,-5.227,1,0.0475,88.059,0.809
2002,Are You That Somebody,Aaliyah,66,71,265666,False,2002-12-10,0.14,0.85,0.657,0.0192,9,0.0939,-7.078,0,0.166,137.971,0.843
2002,A Thousand Miles,Vanessa Carlton,62,78,237493,False,2002-04-30,0.323,0.56,0.825,0,11,0.161,-3.862,1,0.0379,94.931,0.268
2002,Obsesion,"Aventura, Judy Santos",76,77,254720,False,2002-06-01,0.416,0.804,0.56,0,1,0.0608,-6.912,0,0.0397,133.682,0.768
