Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2008,Heartless,Kanye West,90,87,211000,False,2008-11-24,0.0515,0.79,0.647,0,10,0.248,-5.983,0,0.136,87.999,0.654
2008,Viva La Vida,Coldplay,87,87,242373,False,2008-05-26,0.0954,0.486,0.617,3.23e-06,5,0.109,-7.115,0,0.0287,138.015,0.417
2008,Chicken Fried,Zac Brown Band,72,80,238146,False,2008-11-17,0.645,0.566,0.713,0,6,0.114,-4.25,1,0.0418,169.861,0.805
2008,"You're Gonna Go Far, Kid",The Offspring,76,83,177826,True,2008-06-17,0.00428,0.55,0.917,0,0,0.197,-3.159,1,0.0638,126.115,0.601
2008,Poker Face,Lady Gaga,83,78,237200,False,2008-01-01,0.118,0.851,0.806,1.64e-06,4,0.121,-4.62,1,0.0787,118.999,0.787
2008,Sex on Fire,Kings of Leon,73,83,203346,False,2008-09-23,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,0.374
2008,Walking On A Dream,Empire of the Sun,70,81,198440,False,2008-10-03,0.257,0.871,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,0.716
2008,Kiss Me Thru The Phone,"Soulja Boy, Sammie",67,79,193386,False,2008-01-01,0.0185,0.758,0.712,0,7,0.0677,-3.781,1,0.112,149.998,0.795
2008,Just Dance,"Lady Gaga, Colby O'Donis",83,76,241933,False,2008-01-01,0.0264,0.822,0.739,4.26e-05,1,0.181,-4.541,0,0.0311,118.992,0.745
2008,Low (feat. T-Pain),"Flo Rida, T-Pain",77,82,231400,False,2008-03-17,0.0928,0.918,0.609,0,10,0.139,-5.64,0,0.0791,128.008,0.304
2008,Sextape,Deftones,77,77,241533,False,2008,0.000824,0.367,0.634,0.0759,5,0.116,-6.475,1,0.027,89.981,0.0964
2008,I'm Yours,Jason Mraz,72,81,242946,False,2008-05-12,0.559,0.703,0.444,0,11,0.0973,-9.331,1,0.0417,150.96,0.712
2008,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,67,74,273600,False,2008-05-20,0.0272,0.464,0.655,1.34e-06,7,0.328,-9.058,0,0.0608,169.515,0.531
2008,Disturbia,Rihanna,88,79,238626,False,2008-06-02,0.0863,0.707,0.813,0,11,0.168,-4.515,0,0.0571,124.921,0.722
2008,Savior,Rise Against,69,78,242280,False,2008-01-01,0.00154,0.554,0.932,0.000142,5,0.425,-3.424,0,0.0485,112.49,0.478
2008,Toes,Zac Brown Band,72,74,262773,True,2008-11-17,0.657,0.801,0.759,0,11,0.0897,-5.398,1,0.0378,129.971,0.821
2008,Gives You Hell,The All-American Rejects,65,72,213106,False,2008-01-01,0.0159,0.718,0.691,0,4,0.0627,-6.44,1,0.0387,100.008,0.552
2008,Billie Jean,Michael Jackson,81,82,293826,False,2008-02-08,0.0236,0.92,0.654,0.0153,11,0.036,-3.051,0,0.0401,117.046,0.847
2008,Whatever You Like,T.I.,73,75,249533,True,2008-09-07,0.0161,0.68,0.687,0,9,0.261,-6.162,0,0.0709,150.053,0.467
2008,Hot N Cold,Katy Perry,82,72,220226,False,2008-06-17,7.95e-05,0.706,0.841,0,7,0.0688,-3.956,1,0.0418,132.032,0.861
2008,Paparazzi,Lady Gaga,83,73,208306,False,2008-01-01,0.113,0.762,0.692,0,5,0.094,-3.973,0,0.0438,114.906,0.397
2008,Umbrella,"Rihanna, JAY-Z",88,85,275986,False,2008-06-02,0.00864,0.583,0.829,0,1,0.0426,-4.603,1,0.134,174.028,0.575
2008,Miss Independent,Ne-Yo,78,78,232000,False,2008-01-01,0.522,0.673,0.683,0,1,0.235,-5.693,1,0.115,171.86,0.713
2008,You Belong With Me,Taylor Swift,100,71,231133,False,2008-11-11,0.162,0.687,0.783,1.35e-05,6,0.114,-4.44,1,0.0386,129.964,0.443
2008,Burn It to the Ground,Nickelback,75,75,212346,False,2008-10-28,0.000247,0.617,0.922,0.388,11,0.363,-3.474,1,0.0744,132.059,0.6
2008,Use Somebody,Kings of Leon,73,78,230760,False,2008-09-23,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,0.173
2008,A-Punk,Vampire Weekend,64,70,137760,False,2008-01-29,0.0103,0.551,0.819,0.0437,2,0.153,-4.489,1,0.0525,174.917,0.846
2008,Forever,Chris Brown,85,78,278573,False,2008-04-29,0.0368,0.672,0.82,0.000188,11,0.184,-4.456,1,0.0459,120.005,0.438
2008,Make You Feel My Love,Adele,84,74,212040,False,2008-01-28,0.907,0.317,0.172,0.000383,10,0.105,-10.636,1,0.0326,65.18,0.0963
2008,So What,P!nk,80,78,215160,True,2008-10-24,0.000334,0.534,0.87,0,11,0.241,-3.078,0,0.0425,126.019,0.462
2008,American Boy,"Estelle, Kanye West",64,78,284733,True,2008-03-28,0.171,0.693,0.729,0,0,0.07,-2.99,1,0.378,117.848,0.521
2008,I Kissed A Girl,Katy Perry,82,70,179640,False,2008-06-17,0.00223,0.699,0.76,0,5,0.132,-3.173,1,0.0677,129.996,0.696
2008,Decode,Paramore,77,74,261959,False,2008-11-04,0.000686,0.28,0.87,0.00608,10,0.101,-4.219,0,0.0592,164.057,0.284
2008,In Color,Jamey Johnson,60,70,290680,False,2008-01-01,0.391,0.544,0.404,3.98e-06,3,0.157,-8.751,1,0.0354,129.518,0.251
2008,Love Story,Taylor Swift,100,70,235266,False,2008-11-11,0.17,0.618,0.741,0,2,0.0822,-3.95,1,0.031,118.984,0.296
